[11:56:46] config.py (line 370):     INFO: Seed number: 297834
[11:56:46] algorithm.py (line 267):     INFO: Reading input alignment: <_io.TextIOWrapper name='/Users/dominiquefastus/DeNovoProj/BUSCO_ass/busco_downloads/placement_files/supermatrix.aln.eukaryota_odb10.2019-12-16.faa' mode='r' encoding='UTF-8'>
[11:56:46] algorithm.py (line 274):     INFO: Reading input tree: <_io.TextIOWrapper name='/Users/dominiquefastus/DeNovoProj/BUSCO_ass/busco_downloads/placement_files/tree.eukaryota_odb10.2019-12-16.nwk' mode='r' encoding='UTF-8'>
[11:56:46] algorithm.py (line 247):     INFO: Decomposition Sizes are set to alignment: 122 placement: 122
[11:56:46] exhaustive.py (line 351):     INFO: Breaking into 15 placement subsets.
[11:56:46] exhaustive.py (line 398):     INFO: Breaking into 15 alignment subsets.
[11:56:46] filemgr.py (line 129):     INFO: Root temp directory built: /Users/dominiquefastus/DeNovoProj/BUSCO_ass/busco_out/auto_lineage/run_eukaryota_odb10/sepp_tmp_files/output._n5p03kn
[11:56:46] exhaustive.py (line 413):     INFO: Breaking each alignment subset into 7 fragment chunks.
[11:57:17] jobs.py (line 131):     INFO: Finished hmmbuild Job with input: /Users/dominiquefastus/DeNovoProj/BUSCO_ass/busco_out/auto_lineage/run_eukaryota_odb10/sepp_tmp_files/output._n5p03kn/root/P_0/A_0_0/hmmbuild.input.l09k9yzg.fasta
[11:57:44] jobs.py (line 131):     INFO: Finished hmmbuild Job with input: /Users/dominiquefastus/DeNovoProj/BUSCO_ass/busco_out/auto_lineage/run_eukaryota_odb10/sepp_tmp_files/output._n5p03kn/root/P_1/A_1_0/hmmbuild.input.e0tgfc0z.fasta
[11:58:15] jobs.py (line 131):     INFO: Finished hmmbuild Job with input: /Users/dominiquefastus/DeNovoProj/BUSCO_ass/busco_out/auto_lineage/run_eukaryota_odb10/sepp_tmp_files/output._n5p03kn/root/P_2/A_2_0/hmmbuild.input.cncxj5np.fasta
