Assembly	asm_ctgs_m
# contigs (>= 0 bp)	22
# contigs (>= 1000 bp)	22
# contigs (>= 5000 bp)	22
# contigs (>= 10000 bp)	22
# contigs (>= 25000 bp)	19
# contigs (>= 50000 bp)	17
Total length (>= 0 bp)	12307599
Total length (>= 1000 bp)	12307599
Total length (>= 5000 bp)	12307599
Total length (>= 10000 bp)	12307599
Total length (>= 25000 bp)	12241570
Total length (>= 50000 bp)	12160601
# contigs	22
Largest contig	1505876
Total length	12307599
GC (%)	38.33
N50	920022
N90	438981
auN	892740.2
L50	6
L90	13
# N's per 100 kbp	0.00
