#                                                                                   --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name               accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#       ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
ctg000002_P:160848-161192   -            115 39520at4891          -             94     4e-49  162.1   7.1   1   2   0.00072      0.27    8.7   0.2     1    13     1    13     1    21 0.88 -
ctg000002_P:160848-161192   -            115 39520at4891          -             94     4e-49  162.1   7.1   2   2   4.8e-50   1.8e-47  156.7   2.0     8    94    26   115    17   115 0.92 -
ctg000014_P:94232-94480     -             83 39520at4891          -             94   5.9e-45  148.7   1.7   1   1   1.7e-47   6.6e-45  148.6   1.7    16    94     1    82     1    82 0.95 -
ctg000009_P:82087-82686     -            200 39520at4891          -             94     5e-09   33.5   0.1   1   1   2.4e-11   9.1e-09   32.7   0.1     8    61   139   192   133   196 0.93 -
ctg000003_P:649814-651796   -            520 39520at4891          -             94   1.5e-05   22.4   0.2   1   1   7.9e-08     3e-05   21.4   0.2     6    65   117   176   112   182 0.89 -
ctg000002_P:566447-567199   -            251 39520at4891          -             94   3.6e-05   21.2   0.9   1   1   2.4e-07     9e-05   19.9   0.9    15    91   173   249   165   251 0.87 -
ctg000003_P:181282-182301   -            340 39520at4891          -             94     0.061   10.8   4.6   1   2      0.67   2.6e+02   -0.8   0.2    29    47    42    60     7    88 0.62 -
ctg000003_P:181282-182301   -            340 39520at4891          -             94     0.061   10.8   4.6   2   2   0.00011     0.043   11.3   0.4    11    87   260   337   253   340 0.73 -
ctg000000_P:1378378-1379034 -            219 39520at4891          -             94      0.13    9.8   8.2   1   4       1.2   4.6e+02   -1.6   0.1    18    32    11    25     1    54 0.50 -
ctg000000_P:1378378-1379034 -            219 39520at4891          -             94      0.13    9.8   8.2   2   4     0.029        11    3.6   0.8    16    50    49    84    35    96 0.81 -
ctg000000_P:1378378-1379034 -            219 39520at4891          -             94      0.13    9.8   8.2   3   4      0.18        68    1.0   0.0    32    55   131   154   108   163 0.79 -
ctg000000_P:1378378-1379034 -            219 39520at4891          -             94      0.13    9.8   8.2   4   4   0.00037      0.14    9.6   0.5    30    93   150   217   121   218 0.58 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /Users/dominiquefastus/DeNovoProj/BUSCO_ass/busco_downloads/lineages/saccharomycetes_odb10/hmms/39520at4891.hmm
# Target file:     /Users/dominiquefastus/DeNovoProj/BUSCO_ass/busco_out/run_saccharomycetes_odb10/metaeuk_output/initial_results/asm_ctgs_m.fa.modified.fas
# Option settings: hmmsearch --domtblout /Users/dominiquefastus/DeNovoProj/BUSCO_ass/busco_out/run_saccharomycetes_odb10/hmmer_output/initial_run_results/39520at4891.out --cpu 1 /Users/dominiquefastus/DeNovoProj/BUSCO_ass/busco_downloads/lineages/saccharomycetes_odb10/hmms/39520at4891.hmm /Users/dominiquefastus/DeNovoProj/BUSCO_ass/busco_out/run_saccharomycetes_odb10/metaeuk_output/initial_results/asm_ctgs_m.fa.modified.fas 
# Current dir:     /Users/dominiquefastus/DeNovoProj/BUSCO_ass
# Date:            Fri Feb 24 14:27:09 2023
# [ok]
