#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
ctg000006_P_198      -            527 1592033at2           -            393   1.3e-09   36.5   1.0   1   1   6.6e-12     2e-09   35.8   1.0   192   355   272   449   209   485 0.83 # 302828 # 304408 # -1 # ID=7_198;partial=00;start_type=ATG;rbs_motif=AATAA;rbs_spacer=11bp;gc_cont=0.380
ctg000011_P_89       -            519 1592033at2           -            393   2.1e-09   35.8   0.0   1   1   1.3e-11     4e-09   34.9   0.0   193   354   338   515   335   518 0.83 # 121121 # 122677 # -1 # ID=12_89;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.424
ctg000014_P_68       -            370 1592033at2           -            393   6.4e-09   34.2   0.0   1   2   3.9e-06    0.0012   16.8   0.0   194   247    65   118    59   125 0.82 # 81775 # 82884 # -1 # ID=15_68;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.436
ctg000014_P_68       -            370 1592033at2           -            393   6.4e-09   34.2   0.0   2   2   1.5e-05    0.0046   14.9   0.0   291   354   228   295   221   318 0.80 # 81775 # 82884 # -1 # ID=15_68;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.436
ctg000001_P_164      -            369 1592033at2           -            393     5e-08   31.3   5.9   1   3       7.3   2.3e+03   -3.8   0.4   166   186     4    24     3    26 0.79 # 252406 # 253512 # -1 # ID=2_164;partial=00;start_type=ATG;rbs_motif=AACAA;rbs_spacer=10bp;gc_cont=0.402
ctg000001_P_164      -            369 1592033at2           -            393     5e-08   31.3   5.9   2   3   1.4e-06   0.00042   18.3   0.1   196   294    65   160    60   184 0.81 # 252406 # 253512 # -1 # ID=2_164;partial=00;start_type=ATG;rbs_motif=AACAA;rbs_spacer=10bp;gc_cont=0.402
ctg000001_P_164      -            369 1592033at2           -            393     5e-08   31.3   5.9   3   3   1.1e-05    0.0033   15.4   0.1   278   352   215   293   207   306 0.79 # 252406 # 253512 # -1 # ID=2_164;partial=00;start_type=ATG;rbs_motif=AACAA;rbs_spacer=10bp;gc_cont=0.402
ctg000001_P_545      -            641 1592033at2           -            393   3.3e-07   28.6   1.8   1   2   6.8e-05     0.021   12.8   0.5   270   352   195   284   188   316 0.69 # 789361 # 791283 # -1 # ID=2_545;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.389
ctg000001_P_545      -            641 1592033at2           -            393   3.3e-07   28.6   1.8   2   2   1.7e-05    0.0052   14.7   0.0   195   218   337   360   333   375 0.88 # 789361 # 791283 # -1 # ID=2_545;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.389
ctg000007_P_51       -            219 1592033at2           -            393   8.2e-07   27.3   0.1   1   2     0.076        23    2.7   0.0   176   222     6    51     1    73 0.78 # 75327 # 75983 # 1 # ID=8_51;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.422
ctg000007_P_51       -            219 1592033at2           -            393   8.2e-07   27.3   0.1   2   2   6.4e-08     2e-05   22.7   0.0   271   362   100   199    98   213 0.85 # 75327 # 75983 # 1 # ID=8_51;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.422
ctg000001_P_123      -            412 1592033at2           -            393   1.9e-06   26.0   0.1   1   3   0.00032     0.099   10.5   0.0   195   232     5    42     3    52 0.90 # 182627 # 183862 # 1 # ID=2_123;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.464
ctg000001_P_123      -            412 1592033at2           -            393   1.9e-06   26.0   0.1   2   3    0.0081       2.5    5.9   0.0   267   286   102   121    99   147 0.84 # 182627 # 183862 # 1 # ID=2_123;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.464
ctg000001_P_123      -            412 1592033at2           -            393   1.9e-06   26.0   0.1   3   3    0.0081       2.5    5.9   0.0   295   344   210   267   203   285 0.81 # 182627 # 183862 # 1 # ID=2_123;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.464
ctg000010_P_290      -            521 1592033at2           -            393   2.5e-06   25.7   6.0   1   3       4.7   1.4e+03   -3.2   0.6   355   387    50    83     9    89 0.50 # 413698 # 415260 # -1 # ID=11_290;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.397
ctg000010_P_290      -            521 1592033at2           -            393   2.5e-06   25.7   6.0   2   3   2.3e-05    0.0072   14.3   0.0   272   321   175   222   167   237 0.86 # 413698 # 415260 # -1 # ID=11_290;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.397
ctg000010_P_290      -            521 1592033at2           -            393   2.5e-06   25.7   6.0   3   3   2.5e-05    0.0077   14.2   0.2   188   216   274   302   250   334 0.81 # 413698 # 415260 # -1 # ID=11_290;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.397
ctg000005_P_381      -            648 1592033at2           -            393   4.3e-06   24.9   0.8   1   2   3.5e-08   1.1e-05   23.6   0.0   193   366   166   340   130   370 0.70 # 569886 # 571829 # -1 # ID=6_381;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.406
ctg000005_P_381      -            648 1592033at2           -            393   4.3e-06   24.9   0.8   2   2       5.8   1.8e+03   -3.5   0.1   311   380   450   518   430   528 0.64 # 569886 # 571829 # -1 # ID=6_381;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.406
ctg000006_P_341      -            192 1592033at2           -            393   5.4e-06   24.6   0.0   1   2   3.4e-05     0.011   13.7   0.0   190   247    13    69     6    73 0.82 # 523271 # 523846 # 1 # ID=7_341;partial=00;start_type=ATG;rbs_motif=AAGAA;rbs_spacer=3bp;gc_cont=0.415
ctg000006_P_341      -            192 1592033at2           -            393   5.4e-06   24.6   0.0   2   2    0.0016      0.49    8.2   0.0   300   322   119   154    85   190 0.59 # 523271 # 523846 # 1 # ID=7_341;partial=00;start_type=ATG;rbs_motif=AAGAA;rbs_spacer=3bp;gc_cont=0.415
ctg000011_P_338      -            406 1592033at2           -            393   2.2e-05   22.6   0.0   1   1   1.3e-07   4.1e-05   21.7   0.0   192   240    14    63    11    70 0.88 # 489368 # 490585 # 1 # ID=12_338;partial=00;start_type=ATG;rbs_motif=AATAA;rbs_spacer=6bp;gc_cont=0.377
ctg000005_P_329      -            199 1592033at2           -            393   8.1e-05   20.7   1.7   1   2    0.0042       1.3    6.9   0.0   191   221    14    44     7    64 0.85 # 482247 # 482843 # -1 # ID=6_329;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.372
ctg000005_P_329      -            199 1592033at2           -            393   8.1e-05   20.7   1.7   2   2   0.00012     0.036   12.0   0.4   276   347    95   183    92   195 0.71 # 482247 # 482843 # -1 # ID=6_329;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.372
ctg000008_P_38       -            211 1592033at2           -            393   0.00017   19.7   0.0   1   1   7.7e-07   0.00024   19.2   0.0   181   220    28    65    19    68 0.79 # 55849 # 56481 # 1 # ID=9_38;partial=00;start_type=TTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.401
