# BUSCO version is: 5.4.4 
# The lineage dataset is: eukaryota_odb10 (Creation date: 2020-09-10, number of genomes: 70, number of BUSCOs: 255)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
39650at2759	Complete	ctg000008_P	622660	629325	-	1942.4	1399
83779at2759	Complete	ctg000006_P	74995	76569	+	195.1	221
87842at2759	Complete	ctg000003_P	414476	417229	+	344.4	623
97116at2759	Complete	ctg000006_P	169291	173373	-	587.7	882
100698at2759	Complete	ctg000107_P	363312	365840	+	831.8	499
142542at2759	Complete	ctg000012_P	130101	134321	+	499.8	630
156083at2759	Complete	ctg000011_P	126105	133343	+	3217.4	1937
160593at2759	Complete	ctg000001_P	966368	974383	-	1341.2	1446
166920at2759	Complete	ctg000003_P	653255	656785	-	560.9	773
176625at2759	Complete	ctg000001_P	434153	437863	-	245.1	384
179362at2759	Complete	ctg000008_P	598194	602129	-	695.2	1287
245208at2759	Complete	ctg000006_P	823168	826080	+	1187.1	846
257318at2759	Complete	ctg000107_P	253159	255321	+	292.9	354
261328at2759	Missing
261419at2759	Missing
270107at2759	Complete	ctg000009_P	145081	147837	-	539.5	747
271586at2759	Complete	ctg000001_P	510745	513819	+	225.5	411
290630at2759	Complete	ctg000012_P	112251	115019	+	695.8	626
293315at2759	Complete	ctg000008_P	343069	347472	-	556.5	597
296129at2759	Complete	ctg000008_P	399055	402222	-	1050.9	714
299766at2759	Complete	ctg000002_P	107147	110101	-	370.5	450
306227at2759	Complete	ctg000003_P	863529	866168	+	433.2	540
320059at2759	Complete	ctg000005_P	556360	558030	+	866.5	451
324863at2759	Complete	ctg000005_P	432810	436109	-	520.4	532
325552at2759	Complete	ctg000006_P	423485	425329	-	330.7	412
330169at2759	Complete	ctg000008_P	97136	98788	-	247.5	301
331411at2759	Complete	ctg000006_P	364606	366636	+	264.5	413
341721at2759	Complete	ctg000003_P	140190	142178	-	248.6	386
345441at2759	Complete	ctg000010_P	533038	534708	-	416.9	385
355408at2759	Complete	ctg000003_P	362308	364368	-	536.4	546
369837at2759	Complete	ctg000000_P	865239	867374	+	300.7	426
375960at2759	Complete	ctg000005_P	57661	59727	-	245.4	360
383503at2759	Complete	ctg000000_P	397997	399586	+	196.4	364
388820at2759	Complete	ctg000003_P	904315	907131	-	524.5	600
390348at2759	Complete	ctg000006_P	615576	618677	+	1098.6	752
392369at2759	Complete	ctg000006_P	679862	681436	+	424.2	343
396755at2759	Complete	ctg000002_P	1033690	1036920	+	319.1	669
418107at2759	Complete	ctg000003_P	113154	114620	+	447.5	393
426305at2759	Complete	ctg000001_P	115296	117596	+	428.1	482
450058at2759	Complete	ctg000000_P	708538	710526	+	98.7	265
453044at2759	Complete	ctg000001_P	180666	182123	-	358.6	290
457861at2759	Complete	ctg000005_P	670615	671496	-	39.1	114
464990at2759	Complete	ctg000001_P	501596	503521	-	277.7	399
491869at2759	Missing
513979at2759	Complete	ctg000007_P	653614	655728	+	139.6	251
543764at2759	Complete	ctg000008_P	267375	268808	+	156.8	243
549762at2759	Complete	ctg000011_P	115451	117340	-	482.4	402
551907at2759	Complete	ctg000000_P	557688	560762	+	282.4	369
570797at2759	Complete	ctg000003_P	375595	378153	-	317.8	500
582756at2759	Complete	ctg000007_P	623100	624821	-	234.9	350
598949at2759	Complete	ctg000005_P	763860	766583	-	251.2	394
604979at2759	Complete	ctg000008_P	735513	736907	-	351.1	285
621827at2759	Complete	ctg000006_P	425866	427404	+	254.2	357
625387at2759	Complete	ctg000000_P	651558	653651	+	133.9	337
655400at2759	Complete	ctg000001_P	93402	94838	+	234.8	259
664730at2759	Complete	ctg000012_P	249240	250730	+	607.8	356
671536at2759	Complete	ctg000001_P	362015	363553	+	405.0	372
671846at2759	Complete	ctg000000_P	252004	254181	+	130.0	363
673132at2759	Complete	ctg000000_P	484627	485826	-	272.5	281
674160at2759	Complete	ctg000007_P	576684	584162	-	636.1	1000
674169at2759	Complete	ctg000010_P	46159	48135	-	136.8	245
679187at2759	Missing
679771at2759	Missing
687505at2759	Complete	ctg000006_P	673425	674555	+	139.1	230
692986at2759	Complete	ctg000010_P	97245	99647	-	192.0	409
708105at2759	Complete	ctg000005_P	387047	388168	-	157.2	184
719531at2759	Complete	ctg000005_P	722721	724058	-	364.2	288
720340at2759	Complete	ctg000003_P	920867	922045	-	156.3	229
721605at2759	Missing
722805at2759	Complete	ctg000000_P	591069	594044	+	203.1	382
734341at2759	Complete	ctg000022_P	99712	100686	-	77.4	174
734666at2759	Complete	ctg000011_P	117672	119225	-	489.8	390
736068at2759	Complete	ctg000022_P	462638	464098	+	255.7	316
751335at2759	Complete	ctg000005_P	297503	298936	-	162.4	342
759498at2759	Complete	ctg000006_P	345566	347986	-	540.0	422
761109at2759	Complete	ctg000011_P	124003	125880	+	371.0	389
768809at2759	Complete	ctg000003_P	145887	147269	+	253.7	246
774318at2759	Complete	ctg000007_P	736093	737466	+	273.9	272
777920at2759	Complete	ctg000001_P	402990	404804	-	408.2	351
779909at2759	Complete	ctg000008_P	156612	157520	-	258.0	228
801857at2759	Complete	ctg000008_P	123049	124200	-	205.3	195
814241at2759	Complete	ctg000002_P	289623	290957	+	209.3	318
817008at2759	Complete	ctg000002_P	954579	955874	+	468.8	297
834694at2759	Complete	ctg000006_P	696634	698709	-	394.7	326
836599at2759	Complete	ctg000010_P	379500	381068	-	333.8	344
844748at2759	Complete	ctg000008_P	194216	195667	-	207.5	313
855834at2759	Complete	ctg000009_P	215393	217273	+	157.7	309
858842at2759	Complete	ctg000008_P	555114	556883	+	213.9	323
865202at2759	Complete	ctg000009_P	495888	496802	-	190.6	184
866359at2759	Complete	ctg000006_P	535601	536641	-	335.4	260
869548at2759	Complete	ctg000005_P	388445	389143	+	174.2	186
878143at2759	Complete	ctg000022_P	660543	661901	+	343.0	326
887370at2759	Complete	ctg000011_P	79218	81047	+	292.8	295
891751at2759	Complete	ctg000005_P	121347	123002	+	241.7	224
898782at2759	Complete	ctg000007_P	732525	734147	+	245.9	299
901894at2759	Complete	ctg000001_P	867791	869638	+	225.4	344
905026at2759	Complete	ctg000009_P	401878	404397	-	314.8	397
911863at2759	Complete	ctg000011_P	313394	314593	+	170.3	187
917326at2759	Complete	ctg000000_P	818913	820910	+	374.8	429
918816at2759	Complete	ctg000001_P	606020	607447	+	104.5	341
919955at2759	Complete	ctg000000_P	1302552	1303730	+	228.9	252
923657at2759	Complete	ctg000001_P	381694	382860	-	144.9	163
924753at2759	Complete	ctg000002_P	999717	1001015	+	196.8	232
931188at2759	Complete	ctg000013_P	115091	116434	+	312.1	346
