#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
ctg000001_P_164      -            369 21317at2157          -            319   1.3e-95  319.0   2.4   1   1   2.3e-95   1.1e-92  309.4   2.4     2   317     1   367     1   368 0.85 # 252406 # 253512 # -1 # ID=2_164;partial=00;start_type=ATG;rbs_motif=AACAA;rbs_spacer=10bp;gc_cont=0.402
ctg000014_P_68       -            370 21317at2157          -            319   1.4e-86  289.4   0.2   1   1   2.5e-87   1.2e-84  283.0   0.2     2   317     2   368     1   369 0.85 # 81775 # 82884 # -1 # ID=15_68;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.436
ctg000011_P_89       -            519 21317at2157          -            319   7.1e-16   57.0   0.0   1   1   2.4e-18   1.2e-15   56.3   0.0    50   177   327   457   299   473 0.85 # 121121 # 122677 # -1 # ID=12_89;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.424
ctg000001_P_123      -            412 21317at2157          -            319   2.9e-15   55.0   0.0   1   2   1.4e-10   6.8e-08   30.8   0.0    65   102     7    44     3    51 0.91 # 182627 # 183862 # 1 # ID=2_123;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.464
ctg000001_P_123      -            412 21317at2157          -            319   2.9e-15   55.0   0.0   2   2   8.2e-08     4e-05   21.7   0.0   107   183    75   152    64   168 0.87 # 182627 # 183862 # 1 # ID=2_123;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.464
ctg000005_P_381      -            648 21317at2157          -            319   6.9e-14   50.5   0.0   1   1   3.8e-16   1.9e-13   49.1   0.0    64   149   169   256   165   306 0.79 # 569886 # 571829 # -1 # ID=6_381;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.406
ctg000006_P_198      -            527 21317at2157          -            319   5.1e-10   37.8   0.3   1   1   3.8e-12   1.9e-09   35.9   0.3    54   148   267   363   222   410 0.72 # 302828 # 304408 # -1 # ID=7_198;partial=00;start_type=ATG;rbs_motif=AATAA;rbs_spacer=11bp;gc_cont=0.380
ctg000007_P_366      -            395 21317at2157          -            319   3.2e-08   31.9   0.1   1   3     3e-05     0.015   13.3   0.0    66   100    24    59     7    64 0.88 # 525874 # 527058 # 1 # ID=8_366;partial=00;start_type=ATG;rbs_motif=AATAA;rbs_spacer=15bp;gc_cont=0.397
ctg000007_P_366      -            395 21317at2157          -            319   3.2e-08   31.9   0.1   2   3   8.3e-05     0.041   11.8   0.0   111   150    88   127    80   169 0.85 # 525874 # 527058 # 1 # ID=8_366;partial=00;start_type=ATG;rbs_motif=AATAA;rbs_spacer=15bp;gc_cont=0.397
ctg000007_P_366      -            395 21317at2157          -            319   3.2e-08   31.9   0.1   3   3     0.046        22    2.8   0.0   300   314   372   386   361   390 0.85 # 525874 # 527058 # 1 # ID=8_366;partial=00;start_type=ATG;rbs_motif=AATAA;rbs_spacer=15bp;gc_cont=0.397
ctg000011_P_338      -            406 21317at2157          -            319   1.4e-06   26.5   0.1   1   3   3.2e-06    0.0016   16.5   0.0    67    99    21    54     8    65 0.89 # 489368 # 490585 # 1 # ID=12_338;partial=00;start_type=ATG;rbs_motif=AATAA;rbs_spacer=6bp;gc_cont=0.377
