#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
ctg000006_P_37       -            227 117225at2157         -            147   1.1e-17   63.0   2.8   1   1   6.3e-18   7.5e-15   53.7   2.8     8   126    23   168    16   185 0.79 # 51868 # 52548 # 1 # ID=7_37;partial=00;start_type=ATG;rbs_motif=AAGAA;rbs_spacer=11bp;gc_cont=0.410
ctg000006_P_514      -            228 117225at2157         -            147   1.5e-17   62.5   2.7   1   1   7.6e-18     9e-15   53.5   2.7     8   129    26   174    21   188 0.79 # 784516 # 785199 # -1 # ID=7_514;partial=00;start_type=ATG;rbs_motif=AATAA;rbs_spacer=14bp;gc_cont=0.399
ctg000007_P_500      -            355 117225at2157         -            147     9e-05   21.0   0.1   1   1   1.3e-07   0.00016   20.2   0.1    76   133   246   303   208   313 0.81 # 713829 # 714893 # -1 # ID=8_500;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.392
ctg000010_P_137      -            319 117225at2157         -            147   0.00025   19.6   0.0   1   1     4e-07   0.00048   18.7   0.0    75   130   209   264   177   276 0.85 # 219020 # 219976 # 1 # ID=11_137;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.411
ctg000006_P_137      -            188 117225at2157         -            147    0.0019   16.8   0.0   1   2       1.4   1.6e+03   -2.5   0.0    36    54    58    76    44    93 0.61 # 212327 # 212890 # 1 # ID=7_137;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.420
ctg000006_P_137      -            188 117225at2157         -            147    0.0019   16.8   0.0   2   2   3.3e-06     0.004   15.7   0.0    68   113   105   152   102   169 0.77 # 212327 # 212890 # 1 # ID=7_137;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.420
ctg000000_P_905      -            195 117225at2157         -            147     0.002   16.7   0.0   1   2      0.71   8.4e+02   -1.6   0.0    35    51    71    87    65    95 0.76 # 1324865 # 1325449 # -1 # ID=1_905;partial=00;start_type=GTG;rbs_motif=AAAAAA;rbs_spacer=9bp;gc_cont=0.424
ctg000000_P_905      -            195 117225at2157         -            147     0.002   16.7   0.0   2   2   5.6e-06    0.0066   15.0   0.0    83   120   136   174   127   188 0.75 # 1324865 # 1325449 # -1 # ID=1_905;partial=00;start_type=GTG;rbs_motif=AAAAAA;rbs_spacer=9bp;gc_cont=0.424
ctg000011_P_334      -            321 117225at2157         -            147    0.0037   15.8   0.1   1   1   5.4e-06    0.0064   15.0   0.1    77   133   210   266   171   276 0.86 # 485063 # 486025 # 1 # ID=12_334;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.390
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /Users/dominiquefastus/DeNovoProj/BUSCO_ass/busco_downloads/lineages/archaea_odb10/hmms/117225at2157.hmm
# Target file:     /Users/dominiquefastus/DeNovoProj/BUSCO_ass/busco_out/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /Users/dominiquefastus/DeNovoProj/BUSCO_ass/busco_out/auto_lineage/run_archaea_odb10/hmmer_output/117225at2157.out --cpu 1 /Users/dominiquefastus/DeNovoProj/BUSCO_ass/busco_downloads/lineages/archaea_odb10/hmms/117225at2157.hmm /Users/dominiquefastus/DeNovoProj/BUSCO_ass/busco_out/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /Users/dominiquefastus/DeNovoProj/BUSCO_ass
# Date:            Fri Feb 24 11:38:38 2023
# [ok]
