# BUSCO version is: 5.4.4 
# The lineage dataset is: archaea_odb10 (Creation date: 2021-02-23, number of genomes: 404, number of BUSCOs: 194)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
860at2157	Missing
1642at2157	Duplicated	ctg000000_P	1223747	1226275	+	495.5	608	https://www.orthodb.org/v10?query=1642at2157	Elongation factor 2
1642at2157	Duplicated	ctg000002_P	508789	511317	-	495.5	608	https://www.orthodb.org/v10?query=1642at2157	Elongation factor 2
3905at2157	Duplicated	ctg000000_P	205799	211000	-	705.5	661	https://www.orthodb.org/v10?query=3905at2157	DNA-directed RNA polymerase subunit
3905at2157	Duplicated	ctg000002_P	542270	546652	+	622.8	705	https://www.orthodb.org/v10?query=3905at2157	DNA-directed RNA polymerase subunit
6590at2157	Complete	ctg000001_P	75512	77767	+	277.8	388	https://www.orthodb.org/v10?query=6590at2157	Methionine--tRNA ligase
6736at2157	Missing
7046at2157	Duplicated	ctg000000_P	1132320	1134143	-	223.3	409	https://www.orthodb.org/v10?query=7046at2157	Arginine--tRNA ligase
7046at2157	Duplicated	ctg000011_P	276266	278197	+	221.1	424	https://www.orthodb.org/v10?query=7046at2157	Arginine--tRNA ligase
7724at2157	Complete	ctg000005_P	556361	558034	+	331.9	378	https://www.orthodb.org/v10?query=7724at2157	tRNA uridine(34) 5-carboxymethylaminomethyl modification radical SAM/GNAT enzyme Elp3
7896at2157	Complete	ctg000002_P	142821	145697	+	189.9	372	https://www.orthodb.org/v10?query=7896at2157	Alanine--tRNA ligase
8899at2157	Complete	ctg000007_P	326787	328340	+	600.2	411	https://www.orthodb.org/v10?query=8899at2157	V-type ATP synthase beta chain
8922at2157	Missing
10236at2157	Missing
13010at2157	Complete	ctg000000_P	613764	615590	-	584.0	493	https://www.orthodb.org/v10?query=13010at2157	ribosome biogenesis/translation initiation ATPase RLI
13531at2157	Complete	ctg000003_P	845667	847109	-	217.1	322	https://www.orthodb.org/v10?query=13531at2157	Protein translocase subunit SecY
13565at2157	Missing
14061at2157	Duplicated	ctg000007_P	661498	663237	+	553.8	465	https://www.orthodb.org/v10?query=14061at2157	CTP synthase
14061at2157	Duplicated	ctg000022_P	639288	641024	+	542.1	469	https://www.orthodb.org/v10?query=14061at2157	CTP synthase
14454at2157	Complete	ctg000011_P	420967	423045	-	342.3	319	https://www.orthodb.org/v10?query=14454at2157	Proline--tRNA ligase
14889at2157	Complete	ctg000006_P	355167	357839	+	133.1	528	https://www.orthodb.org/v10?query=14889at2157	V-type ATP synthase subunit I
17053at2157	Complete	ctg000014_P	83159	86167	+	363.7	442	https://www.orthodb.org/v10?query=17053at2157	translation initiation factor IF-2
17629at2157	Complete	ctg000010_P	340892	342241	+	306.3	339	https://www.orthodb.org/v10?query=17629at2157	Adenosylhomocysteinase
18705at2157	Missing
19750at2157	Fragmented	ctg000022_P	292185	295853	-	35.8	470	https://www.orthodb.org/v10?query=19750at2157	ATPase
21317at2157	Duplicated	ctg000001_P	252406	253512	-	319.0	315	https://www.orthodb.org/v10?query=21317at2157	GTP-binding protein
21317at2157	Duplicated	ctg000014_P	81775	82884	-	289.4	315	https://www.orthodb.org/v10?query=21317at2157	GTP-binding protein
22545at2157	Missing
22747at2157	Complete	ctg000013_P	176941	178452	+	349.9	490	https://www.orthodb.org/v10?query=22747at2157	phenylalanine--tRNA ligase subunit alpha
22842at2157	Missing
23182at2157	Missing
23221at2157	Duplicated	ctg000001_P	95125	96438	-	327.6	324	https://www.orthodb.org/v10?query=23221at2157	Enolase
23221at2157	Duplicated	ctg000011_P	110414	111727	-	324.6	325	https://www.orthodb.org/v10?query=23221at2157	Enolase
23221at2157	Duplicated	ctg000006_P	898018	899331	+	305.1	325	https://www.orthodb.org/v10?query=23221at2157	Enolase
23221at2157	Duplicated	ctg000002_P	10341	11654	-	304.9	325	https://www.orthodb.org/v10?query=23221at2157	Enolase
23221at2157	Duplicated	ctg000005_P	932005	933318	+	304.3	325	https://www.orthodb.org/v10?query=23221at2157	Enolase
24257at2157	Missing
24288at2157	Complete	ctg000003_P	95542	97215	-	267.2	313	https://www.orthodb.org/v10?query=24288at2157	aspartate--tRNA(Asn) ligase
25592at2157	Complete	ctg000010_P	371181	372764	-	371.5	362	https://www.orthodb.org/v10?query=25592at2157	Translation initiation factor 2 subunit gamma
25871at2157	Complete	ctg000005_P	229744	231369	+	283.4	368	https://www.orthodb.org/v10?query=25871at2157	signal recognition particle protein
29893at2157	Missing
30130at2157	Complete	ctg000010_P	226854	228056	-	208.7	224	https://www.orthodb.org/v10?query=30130at2157	DNA repair and recombination protein RadA
31316at2157	Complete	ctg000009_P	32369	33313	+	145.4	259	https://www.orthodb.org/v10?query=31316at2157	Dihydroorotate dehydrogenase
31722at2157	Complete	ctg000002_P	640595	641758	-	168.4	226	https://www.orthodb.org/v10?query=31722at2157	50S ribosomal protein L3
32079at2157	Missing
32191at2157	Complete	ctg000007_P	287427	288740	+	271.1	364	https://www.orthodb.org/v10?query=32191at2157	peptide chain release factor 1
32623at2157	Duplicated	ctg000007_P	336242	338245	+	340.7	354	https://www.orthodb.org/v10?query=32623at2157	glycine--tRNA ligase
32623at2157	Duplicated	ctg000005_P	238802	240658	+	339.8	343	https://www.orthodb.org/v10?query=32623at2157	glycine--tRNA ligase
35648at2157	Complete	ctg000008_P	541844	543133	-	257.9	286	https://www.orthodb.org/v10?query=35648at2157	Adenylosuccinate synthetase
35861at2157	Missing
36028at2157	Complete	ctg000003_P	476380	477840	+	263.7	250	https://www.orthodb.org/v10?query=36028at2157	Probable tRNA pseudouridine synthase B
37207at2157	Duplicated	ctg000002_P	949850	950821	+	330.1	326	https://www.orthodb.org/v10?query=37207at2157	Replication factor C small subunit
37207at2157	Duplicated	ctg000008_P	690287	691309	-	306.7	323	https://www.orthodb.org/v10?query=37207at2157	Replication factor C small subunit
37207at2157	Duplicated	ctg000022_P	586196	587257	+	292.6	327	https://www.orthodb.org/v10?query=37207at2157	Replication factor C small subunit
37299at2157	Complete	ctg000006_P	843148	844680	-	331.2	401	https://www.orthodb.org/v10?query=37299at2157	Amidophosphoribosyltransferase
39322at2157	Missing
41214at2157	Complete	ctg000009_P	231874	233022	-	229.1	260	https://www.orthodb.org/v10?query=41214at2157	Flap endonuclease 1
41305at2157	Fragmented	ctg000009_P	172064	173077	-	68.7	183	https://www.orthodb.org/v10?query=41305at2157	Bifunctional NAD(P)H-hydrate repair enzyme
43727at2157	Complete	ctg000022_P	275120	276442	+	259.1	282	https://www.orthodb.org/v10?query=43727at2157	Ornithine carbamoyltransferase
44076at2157	Complete	ctg000002_P	536169	537623	+	184.3	207	https://www.orthodb.org/v10?query=44076at2157	serine protein kinase RIO
46017at2157	Complete	ctg000012_P	204514	205764	-	239.6	331	https://www.orthodb.org/v10?query=46017at2157	Phosphoglycerate kinase
47919at2157	Complete	ctg000005_P	303814	305394	+	180.3	355	https://www.orthodb.org/v10?query=47919at2157	Histidine--tRNA ligase
48934at2157	Missing
50844at2157	Complete	ctg000007_P	569233	570093	+	147.5	194	https://www.orthodb.org/v10?query=50844at2157	di-trans,poly-cis-decaprenylcistransferase
51351at2157	Complete	ctg000022_P	177826	184470	-	267.2	233	https://www.orthodb.org/v10?query=51351at2157	Aspartate carbamoyltransferase
52427at2157	Complete	ctg000001_P	918572	919825	-	116.9	145	https://www.orthodb.org/v10?query=52427at2157	threonylcarbamoyl-AMP synthase
54988at2157	Fragmented	ctg000005_P	173784	175019	-	108.5	173	https://www.orthodb.org/v10?query=54988at2157	S-methyl-5-thioribose-1-phosphate isomerase
55024at2157	Complete	ctg000003_P	240827	242614	+	265.0	460	https://www.orthodb.org/v10?query=55024at2157	Phenylalanine--tRNA ligase beta subunit
56027at2157	Missing
57545at2157	Missing
58019at2157	Missing
58022at2157	Complete	ctg000001_P	1059222	1061630	-	191.6	351	https://www.orthodb.org/v10?query=58022at2157	Phosphoribosylamine--glycine ligase
58340at2157	Complete	ctg000000_P	427826	428809	+	165.0	148	https://www.orthodb.org/v10?query=58340at2157	fibrillarin-like rRNA methylase
59062at2157	Complete	ctg000001_P	229846	231030	+	159.8	243	https://www.orthodb.org/v10?query=59062at2157	Tyrosine--tRNA ligase
59314at2157	Duplicated	ctg000011_P	485063	486025	+	93.0	172	https://www.orthodb.org/v10?query=59314at2157	Ribose-phosphate pyrophosphokinase
59314at2157	Duplicated	ctg000010_P	219020	219976	+	92.0	161	https://www.orthodb.org/v10?query=59314at2157	Ribose-phosphate pyrophosphokinase
59314at2157	Duplicated	ctg000007_P	713829	714893	-	90.4	168	https://www.orthodb.org/v10?query=59314at2157	Ribose-phosphate pyrophosphokinase
59861at2157	Missing
60366at2157	Complete	ctg000008_P	474143	474865	-	135.8	175	https://www.orthodb.org/v10?query=60366at2157	K Homology domain
60670at2157	Missing
60954at2157	Complete	ctg000001_P	827533	828297	-	222.6	188	https://www.orthodb.org/v10?query=60954at2157	Ribosomal protein S5
61613at2157	Missing
61936at2157	Missing
62508at2157	Missing
63341at2157	Complete	ctg000001_P	175577	176299	-	158.9	164	https://www.orthodb.org/v10?query=63341at2157	Ribosomal protein S2
64860at2157	Complete	ctg000022_P	197630	198781	-	92.6	194	https://www.orthodb.org/v10?query=64860at2157	tRNA (adenine-N1)-methyltransferase
65833at2157	Duplicated	ctg000000_P	472315	473403	+	178.4	246	https://www.orthodb.org/v10?query=65833at2157	50S ribosomal protein L4
65833at2157	Duplicated	ctg000007_P	516500	517588	-	178.2	246	https://www.orthodb.org/v10?query=65833at2157	50S ribosomal protein L4
66209at2157	Complete	ctg000005_P	569886	571829	-	225.6	287	https://www.orthodb.org/v10?query=66209at2157	GTP-binding protein
66811at2157	Missing
69351at2157	Missing
70269at2157	Missing
70525at2157	Complete	ctg000005_P	349704	350441	+	164.1	179	https://www.orthodb.org/v10?query=70525at2157	Translation initiation factor 6
70865at2157	Complete	ctg000000_P	671842	673554	-	122.6	215	https://www.orthodb.org/v10?query=70865at2157	tRNA (guanine(26)-N(2))-dimethyltransferase
72726at2157	Duplicated	ctg000005_P	195937	196944	+	146.7	190	https://www.orthodb.org/v10?query=72726at2157	DNA-directed RNA polymerase subunit D
72726at2157	Duplicated	ctg000107_P	138295	139251	-	134.5	183	https://www.orthodb.org/v10?query=72726at2157	DNA-directed RNA polymerase subunit D
73593at2157	Complete	ctg000003_P	775831	776769	+	139.4	222	https://www.orthodb.org/v10?query=73593at2157	50S ribosomal protein L10
74812at2157	Duplicated	ctg000013_P	49387	50193	+	168.0	172	https://www.orthodb.org/v10?query=74812at2157	Ribosomal protein L2
74812at2157	Duplicated	ctg000107_P	134223	134903	-	168.0	171	https://www.orthodb.org/v10?query=74812at2157	Ribosomal protein L2
75288at2157	Missing
76134at2157	Missing
76877at2157	Missing
78046at2157	Duplicated	ctg000006_P	429137	429811	-	136.1	164	https://www.orthodb.org/v10?query=78046at2157	Pyridoxal 5'-phosphate synthase subunit PdxT
78046at2157	Duplicated	ctg000008_P	764654	765322	+	132.6	175	https://www.orthodb.org/v10?query=78046at2157	Pyridoxal 5'-phosphate synthase subunit PdxT
78046at2157	Duplicated	ctg000013_P	261159	261827	+	131.8	175	https://www.orthodb.org/v10?query=78046at2157	Pyridoxal 5'-phosphate synthase subunit PdxT
79065at2157	Missing
79845at2157	Missing
80498at2157	Complete	ctg000022_P	670438	671115	+	170.3	164	https://www.orthodb.org/v10?query=80498at2157	30S ribosomal protein S7
80501at2157	Complete	ctg000002_P	485761	486585	+	84.8	170	https://www.orthodb.org/v10?query=80501at2157	RNA-processing protein
80629at2157	Duplicated	ctg000008_P	277332	277907	-	120.4	144	https://www.orthodb.org/v10?query=80629at2157	Ribosomal protein L6, alpha-beta domain
80629at2157	Duplicated	ctg000001_P	877582	878157	+	118.9	143	https://www.orthodb.org/v10?query=80629at2157	Ribosomal protein L6, alpha-beta domain
82104at2157	Complete	ctg000003_P	262767	263432	+	108.5	126	https://www.orthodb.org/v10?query=82104at2157	50S ribosomal protein L10e
82755at2157	Missing
82853at2157	Complete	ctg000007_P	758593	759858	+	131.9	204	https://www.orthodb.org/v10?query=82853at2157	Methionine aminopeptidase
83050at2157	Missing
84219at2157	Duplicated	ctg000006_P	206376	206768	-	97.1	106	https://www.orthodb.org/v10?query=84219at2157	30S ribosomal protein S13
84219at2157	Duplicated	ctg000000_P	1340759	1341148	+	96.8	106	https://www.orthodb.org/v10?query=84219at2157	30S ribosomal protein S13
84684at2157	Complete	ctg000022_P	464457	465371	+	96.8	165	https://www.orthodb.org/v10?query=84684at2157	Translation initiation factor 2 subunit alpha
85023at2157	Duplicated	ctg000003_P	187799	188413	-	148.8	148	https://www.orthodb.org/v10?query=85023at2157	Ribosomal protein L15e
85023at2157	Duplicated	ctg000006_P	487857	488471	-	148.6	147	https://www.orthodb.org/v10?query=85023at2157	Ribosomal protein L15e
