#                                                                                   --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name               accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#       ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
ctg000010_P:46159-48135     -            659 674169at2759         -            271   3.4e-41  136.8   2.8   1   3   8.9e-17   3.6e-15   51.5   0.0     1    64    64   135    64   143 0.83 -
ctg000010_P:46159-48135     -            659 674169at2759         -            271   3.4e-41  136.8   2.8   2   3   2.1e-08   8.3e-07   24.0   0.1    66   120   161   229   149   234 0.83 -
ctg000010_P:46159-48135     -            659 674169at2759         -            271   3.4e-41  136.8   2.8   3   3   3.7e-19   1.5e-17   59.3   0.2   118   246   262   424   260   445 0.67 -
ctg000006_P:395114-396262   -            383 674169at2759         -            271   1.3e-12   43.1   1.1   1   3      0.27        11    0.7   0.2     2    31    11    40    10    45 0.90 -
ctg000006_P:395114-396262   -            383 674169at2759         -            271   1.3e-12   43.1   1.1   2   3   1.2e-07   4.8e-06   21.6   0.0    31    66    72   107    70   111 0.92 -
ctg000006_P:395114-396262   -            383 674169at2759         -            271   1.3e-12   43.1   1.1   3   3   2.2e-06   8.8e-05   17.4   0.0   123   174   215   272   209   290 0.69 -
ctg000002_P:340726-341739   -            338 674169at2759         -            271   4.8e-11   37.9   1.6   1   3     0.015       0.6    4.8   0.1     3    31     1    29     1    31 0.95 -
ctg000002_P:340726-341739   -            338 674169at2759         -            271   4.8e-11   37.9   1.6   2   3     3e-07   1.2e-05   20.2   0.0    34    66    52    84    49    92 0.89 -
ctg000002_P:340726-341739   -            338 674169at2759         -            271   4.8e-11   37.9   1.6   3   3   0.00044     0.017    9.9   0.2   119   174   176   235   173   250 0.74 -
ctg000008_P:690556-691269   -            238 674169at2759         -            271   2.1e-10   35.8   0.0   1   2   7.4e-09   2.9e-07   25.5   0.0     2    55     1    57     1    65 0.90 -
ctg000008_P:690556-691269   -            238 674169at2759         -            271   2.1e-10   35.8   0.0   2   2    0.0015     0.059    8.1   0.0   119   166   151   202   139   208 0.77 -
ctg000000_P:613964-615283   -            440 674169at2759         -            271   4.7e-07   24.8   0.0   1   2   0.00016    0.0064   11.3   0.0    32    72     2    42     1    61 0.87 -
ctg000000_P:613964-615283   -            440 674169at2759         -            271   4.7e-07   24.8   0.0   2   2    0.0002     0.008   11.0   0.0    31    56   276   301   272   304 0.90 -
ctg000002_P:949969-950478   -            170 674169at2759         -            271   8.3e-06   20.8   0.1   1   2   0.00019    0.0077   11.0   0.0    33    55     4    26     1    31 0.89 -
ctg000002_P:949969-950478   -            170 674169at2759         -            271   8.3e-06   20.8   0.1   2   2    0.0018     0.071    7.9   0.0   130   164   132   170   120   170 0.64 -
ctg000001_P:562593-563255   -            221 674169at2759         -            271   2.4e-05   19.2   0.0   1   1   8.5e-07   3.4e-05   18.8   0.0    35    70     2    37     1    74 0.86 -
ctg000013_P:106272-107846   -            525 674169at2759         -            271   0.00015   16.7   0.1   1   3     0.069       2.8    2.7   0.0    36    54    19    37    15    44 0.88 -
ctg000013_P:106272-107846   -            525 674169at2759         -            271   0.00015   16.7   0.1   2   3      0.28        11    0.7   0.0    96   131   191   226   162   231 0.74 -
ctg000013_P:106272-107846   -            525 674169at2759         -            271   0.00015   16.7   0.1   3   3   0.00096     0.038    8.8   0.0    34    56   350   372   338   375 0.85 -
ctg000003_P:608271-609866   -            532 674169at2759         -            271   0.00016   16.6   0.0   1   3    0.0058      0.23    6.2   0.0    36    53    22    39    16    46 0.89 -
ctg000003_P:608271-609866   -            532 674169at2759         -            271   0.00016   16.6   0.0   2   3    0.0022     0.089    7.6   0.0    31    55   256   279   244   292 0.81 -
ctg000003_P:608271-609866   -            532 674169at2759         -            271   0.00016   16.6   0.0   3   3       6.7   2.7e+02   -3.9   0.0    85   117   478   513   467   514 0.70 -
ctg000007_P:217749-218126   -            126 674169at2759         -            271   0.00017   16.5   0.0   1   1   5.8e-06   0.00023   16.0   0.0    34    58     1    25     1    35 0.90 -
ctg000003_P:56544-57203     -            220 674169at2759         -            271   0.00017   16.5   0.0   1   1   6.4e-06   0.00026   15.9   0.0    34    70    43    79    41    88 0.90 -
ctg000003_P:883045-883914   -            290 674169at2759         -            271   0.00022   16.1   0.1   1   2       1.1        44   -1.3   0.0    48    91     4    55     1    62 0.56 -
ctg000003_P:883045-883914   -            290 674169at2759         -            271   0.00022   16.1   0.1   2   2   1.9e-05   0.00076   14.3   0.0    34    60   261   287   258   290 0.90 -
ctg000000_P:1242701-1243219 -            173 674169at2759         -            271   0.00059   14.7   0.0   1   2     3e-05    0.0012   13.7   0.0    34    68    41    75    38    80 0.86 -
ctg000000_P:1242701-1243219 -            173 674169at2759         -            271   0.00059   14.7   0.0   2   2       3.5   1.4e+02   -2.9   0.0    29    56   128   152   122   156 0.68 -
ctg000010_P:353053-354615   -            521 674169at2759         -            271   0.00069   14.5   0.0   1   2     0.015      0.61    4.8   0.0    36    53    32    49    28    57 0.90 -
ctg000010_P:353053-354615   -            521 674169at2759         -            271   0.00069   14.5   0.0   2   2    0.0036      0.14    6.9   0.0    34    56   344   366   340   378 0.85 -
ctg000009_P:78390-78935     -            182 674169at2759         -            271   0.00077   14.3   0.0   1   1   2.6e-05    0.0011   13.9   0.0    34    71    41    78    36   110 0.87 -
ctg000005_P:525016-525657   -            214 674169at2759         -            271    0.0013   13.6   0.0   1   1   4.4e-05    0.0018   13.1   0.0    34    71    45    82    34   118 0.80 -
ctg000001_P:695032-695622   -            197 674169at2759         -            271    0.0044   11.8   0.0   1   1   0.00015     0.006   11.4   0.0    34    69    49    84    43   116 0.82 -
ctg000005_P:818382-819323   -            314 674169at2759         -            271    0.0065   11.3   0.3   1   2      0.15       5.8    1.6   0.0    36    53    33    50    24    53 0.85 -
ctg000005_P:818382-819323   -            314 674169at2759         -            271    0.0065   11.3   0.3   2   2    0.0027      0.11    7.3   0.1    35    55   274   294   260   303 0.83 -
ctg000005_P:61251-61859     -            203 674169at2759         -            271    0.0085   10.9   0.1   1   2   0.00073     0.029    9.1   0.0    34    64    40    70    37    92 0.82 -
ctg000005_P:61251-61859     -            203 674169at2759         -            271    0.0085   10.9   0.1   2   2      0.87        35   -0.9   0.0    31    66   103   138    98   141 0.82 -
ctg000009_P:181950-182555   -            202 674169at2759         -            271     0.011   10.5   0.0   1   1   0.00039     0.016   10.0   0.0    34    67    49    82    46    95 0.86 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /Users/dominiquefastus/DeNovoProj/BUSCO_ass/busco_downloads/lineages/eukaryota_odb10/hmms/674169at2759.hmm
# Target file:     /Users/dominiquefastus/DeNovoProj/BUSCO_ass/busco_out/auto_lineage/run_eukaryota_odb10/metaeuk_output/initial_results/asm_ctgs_m.fa.modified.fas
