#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
ctg000006_P_198      -            527 984717at2            -            224   4.7e-15   54.6   0.5   1   1   3.5e-17   1.5e-14   53.0   0.5     3   100   278   382   276   415 0.72 # 302828 # 304408 # -1 # ID=7_198;partial=00;start_type=ATG;rbs_motif=AATAA;rbs_spacer=11bp;gc_cont=0.380
ctg000001_P_545      -            641 984717at2            -            224     5e-08   31.6   0.2   1   2       2.9   1.2e+03   -2.4   0.0    89   109   226   246   201   260 0.70 # 789361 # 791283 # -1 # ID=2_545;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.389
ctg000001_P_545      -            641 984717at2            -            224     5e-08   31.6   0.2   2   2   3.6e-10   1.5e-07   30.0   0.0     2    60   339   395   338   408 0.88 # 789361 # 791283 # -1 # ID=2_545;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.389
ctg000001_P_164      -            369 984717at2            -            224     8e-07   27.7   0.6   1   2   6.1e-09   2.6e-06   26.0   0.1     2    87    66   155    65   167 0.80 # 252406 # 253512 # -1 # ID=2_164;partial=00;start_type=ATG;rbs_motif=AACAA;rbs_spacer=10bp;gc_cont=0.402
ctg000001_P_164      -            369 984717at2            -            224     8e-07   27.7   0.6   2   2         1   4.3e+02   -0.9   0.1    90   108   241   258   215   277 0.69 # 252406 # 253512 # -1 # ID=2_164;partial=00;start_type=ATG;rbs_motif=AACAA;rbs_spacer=10bp;gc_cont=0.402
ctg000007_P_164      -            856 984717at2            -            224   1.1e-06   27.2   0.0   1   2    0.0015      0.63    8.4   0.0     2    24   190   212   189   219 0.92 # 230493 # 233060 # 1 # ID=8_164;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.368
ctg000007_P_164      -            856 984717at2            -            224   1.1e-06   27.2   0.0   2   2   6.8e-06    0.0028   16.1   0.0    46    90   307   351   295   397 0.76 # 230493 # 233060 # 1 # ID=8_164;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.368
ctg000011_P_89       -            519 984717at2            -            224   1.4e-06   26.9   0.6   1   1   5.8e-08   2.4e-05   22.8   0.6     4   105   344   448   342   509 0.73 # 121121 # 122677 # -1 # ID=12_89;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.424
ctg000008_P_38       -            211 984717at2            -            224     2e-06   26.3   0.0   1   1   5.5e-09   2.3e-06   26.2   0.0     2    60    42    98    41   164 0.87 # 55849 # 56481 # 1 # ID=9_38;partial=00;start_type=TTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.401
ctg000010_P_290      -            521 984717at2            -            224   7.1e-06   24.6   0.0   1   2      0.24     1e+02    1.2   0.0    85   107   199   222   162   229 0.65 # 413698 # 415260 # -1 # ID=11_290;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.397
ctg000010_P_290      -            521 984717at2            -            224   7.1e-06   24.6   0.0   2   2   2.4e-07   9.9e-05   20.8   0.0     2   105   283   391   282   413 0.69 # 413698 # 415260 # -1 # ID=11_290;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.397
ctg000014_P_68       -            370 984717at2            -            224   7.5e-05   21.2   0.1   1   2   2.9e-06    0.0012   17.3   0.0     2    58    68   124    67   161 0.86 # 81775 # 82884 # -1 # ID=15_68;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.436
ctg000014_P_68       -            370 984717at2            -            224   7.5e-05   21.2   0.1   2   2      0.16        66    1.8   0.0    88   107   239   260   203   282 0.70 # 81775 # 82884 # -1 # ID=15_68;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.436
ctg000002_P_240      -            557 984717at2            -            224   0.00042   18.8   0.1   1   1   2.4e-06     0.001   17.5   0.1     4    23   218   237   215   253 0.79 # 364696 # 366366 # 1 # ID=3_240;partial=00;start_type=ATG;rbs_motif=AACAA;rbs_spacer=14bp;gc_cont=0.380
ctg000006_P_280      -            368 984717at2            -            224   0.00075   17.9   0.8   1   1   4.7e-06    0.0019   16.6   0.8     4    57   155   226   152   233 0.68 # 431276 # 432379 # -1 # ID=7_280;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.368
ctg000022_P_362      -            416 984717at2            -            224    0.0059   15.0   1.0   1   2   5.1e-05     0.021   13.2   0.3     2    30    25    53    24   108 0.76 # 593908 # 595155 # -1 # ID=17_362;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.397
ctg000022_P_362      -            416 984717at2            -            224    0.0059   15.0   1.0   2   2       2.1   8.6e+02   -1.9   0.0   122   136   200   214   153   219 0.60 # 593908 # 595155 # -1 # ID=17_362;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.397
