#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
ctg000002_P_321      -            275 80501at2157          -            175   2.5e-24   84.8   0.0   1   1   2.2e-27   3.6e-24   84.3   0.0     4   174    99   272    96   273 0.89 # 485761 # 486585 # 1 # ID=3_321;partial=00;start_type=ATG;rbs_motif=AATAA;rbs_spacer=8bp;gc_cont=0.421
ctg000012_P_223      -            317 80501at2157          -            175   1.4e-16   59.6   1.4   1   3   9.7e-20   1.6e-16   59.4   0.0    28   150    68   188    45   194 0.85 # 325708 # 326658 # 1 # ID=13_223;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.386
ctg000012_P_223      -            317 80501at2157          -            175   1.4e-16   59.6   1.4   2   3         2   3.3e+03   -3.5   0.0    83   105   223   245   217   248 0.72 # 325708 # 326658 # 1 # ID=13_223;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.386
ctg000012_P_223      -            317 80501at2157          -            175   1.4e-16   59.6   1.4   3   3       1.7   2.8e+03   -3.2   0.3    25    31   285   291   271   309 0.50 # 325708 # 326658 # 1 # ID=13_223;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.386
ctg000022_P_179      -           1223 80501at2157          -            175   5.3e-13   48.0  19.1   1   7   1.5e-05     0.025   13.2   1.1     4    99   182   285   179   301 0.76 # 292185 # 295853 # -1 # ID=17_179;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.396
ctg000022_P_179      -           1223 80501at2157          -            175   5.3e-13   48.0  19.1   2   7   2.8e-06    0.0046   15.6   0.1     2    47   637   682   636   693 0.86 # 292185 # 295853 # -1 # ID=17_179;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.396
ctg000022_P_179      -           1223 80501at2157          -            175   5.3e-13   48.0  19.1   3   7    0.0035       5.9    5.5   0.0     3    48   716   761   714   778 0.82 # 292185 # 295853 # -1 # ID=17_179;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.396
ctg000022_P_179      -           1223 80501at2157          -            175   5.3e-13   48.0  19.1   4   7   0.00095       1.6    7.3   0.1     2    48   785   831   784   848 0.85 # 292185 # 295853 # -1 # ID=17_179;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.396
ctg000022_P_179      -           1223 80501at2157          -            175   5.3e-13   48.0  19.1   5   7       1.6   2.6e+03   -3.2   0.1     2    30   864   892   863   915 0.80 # 292185 # 295853 # -1 # ID=17_179;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.396
ctg000022_P_179      -           1223 80501at2157          -            175   5.3e-13   48.0  19.1   6   7   3.6e-05      0.06   11.9   0.1     2    45   942   988   941  1006 0.77 # 292185 # 295853 # -1 # ID=17_179;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.396
ctg000022_P_179      -           1223 80501at2157          -            175   5.3e-13   48.0  19.1   7   7     0.079   1.3e+02    1.1   0.1     9    43  1163  1197  1161  1217 0.80 # 292185 # 295853 # -1 # ID=17_179;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.396
ctg000007_P_92       -            414 80501at2157          -            175    0.0024   16.5   0.2   1   3     0.051        84    1.7   0.0    13    38    80   105    76   127 0.87 # 129092 # 130333 # -1 # ID=8_92;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.414
ctg000007_P_92       -            414 80501at2157          -            175    0.0024   16.5   0.2   2   3     0.015        24    3.5   0.0     6    33   155   182   151   188 0.72 # 129092 # 130333 # -1 # ID=8_92;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.414
ctg000007_P_92       -            414 80501at2157          -            175    0.0024   16.5   0.2   3   3    0.0011       1.9    7.1   0.1     2    36   333   367   332   376 0.77 # 129092 # 130333 # -1 # ID=8_92;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.414
ctg000024_P_5        -            414 80501at2157          -            175    0.0024   16.5   0.2   1   3     0.051        84    1.7   0.0    13    38    80   105    76   127 0.87 # 7265 # 8506 # -1 # ID=19_5;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.414
ctg000024_P_5        -            414 80501at2157          -            175    0.0024   16.5   0.2   2   3     0.015        24    3.5   0.0     6    33   155   182   151   188 0.72 # 7265 # 8506 # -1 # ID=19_5;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.414
ctg000024_P_5        -            414 80501at2157          -            175    0.0024   16.5   0.2   3   3    0.0011       1.9    7.1   0.1     2    36   333   367   332   376 0.77 # 7265 # 8506 # -1 # ID=19_5;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.414
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /Users/dominiquefastus/DeNovoProj/BUSCO_ass/busco_downloads/lineages/archaea_odb10/hmms/80501at2157.hmm
# Target file:     /Users/dominiquefastus/DeNovoProj/BUSCO_ass/busco_out/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /Users/dominiquefastus/DeNovoProj/BUSCO_ass/busco_out/auto_lineage/run_archaea_odb10/hmmer_output/80501at2157.out --cpu 1 /Users/dominiquefastus/DeNovoProj/BUSCO_ass/busco_downloads/lineages/archaea_odb10/hmms/80501at2157.hmm /Users/dominiquefastus/DeNovoProj/BUSCO_ass/busco_out/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /Users/dominiquefastus/DeNovoProj/BUSCO_ass
# Date:            Fri Feb 24 11:39:22 2023
# [ok]
