#                                                                                   --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name               accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#       ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
ctg000002_P:278222-279532   -            437 11586at4891          -            343  1.1e-207  686.1   1.9   1   1  1.3e-209  1.3e-207  685.8   1.9     7   343    71   432    65   432 0.95 -
ctg000000_P:236598-239102   -            835 11586at4891          -            343  2.3e-122  405.5   0.5   1   2   2.7e-65   2.8e-63  211.2   0.6    81   326   195   442   167   447 0.92 -
ctg000000_P:236598-239102   -            835 11586at4891          -            343  2.3e-122  405.5   0.5   2   2     2e-59     2e-57  192.0   0.0    79   322   466   714   448   730 0.91 -
ctg000003_P:56301-58784     -            828 11586at4891          -            343  1.4e-110  366.7   0.0   1   2   1.2e-56   1.2e-54  182.8   0.0    96   319   201   431   195   447 0.89 -
ctg000003_P:56301-58784     -            828 11586at4891          -            343  1.4e-110  366.7   0.0   2   2   2.6e-56   2.7e-54  181.7   0.0    96   319   529   758   511   770 0.90 -
ctg000003_P:882460-884790   -            777 11586at4891          -            343  2.3e-109  362.8   0.1   1   2   8.2e-53   8.4e-51  170.2   0.0    95   315   240   467   232   493 0.86 -
ctg000003_P:882460-884790   -            777 11586at4891          -            343  2.3e-109  362.8   0.1   2   2   5.8e-59     6e-57  190.4   0.0    92   323   508   742   482   752 0.91 -
ctg000009_P:181359-182759   -            467 11586at4891          -            343   5.6e-96  318.7   0.2   1   1   7.6e-98   7.8e-96  318.3   0.2    40   336   149   453   140   460 0.92 -
ctg000001_P:694627-695838   -            404 11586at4891          -            343   4.7e-94  312.4   1.8   1   1   5.6e-96   5.7e-94  312.1   1.8    22   335    57   390    36   397 0.88 -
ctg000010_P:333325-387823   -            540 11586at4891          -            343   8.9e-90  298.4   0.1   1   2     7e-37   7.2e-35  117.8   0.0   100   321     2   244     1   255 0.79 -
ctg000010_P:333325-387823   -            540 11586at4891          -            343   8.9e-90  298.4   0.1   2   2   1.3e-54   1.3e-52  176.1   0.1    92   327   280   527   267   537 0.88 -
ctg000000_P:1242197-1243480 -            428 11586at4891          -            343   7.7e-86  285.4   0.5   1   1     1e-87     1e-85  285.0   0.5    10   324    68   402    61   418 0.90 -
ctg000000_P:438502-439818   -            439 11586at4891          -            343   5.3e-85  282.7   0.3   1   1   6.6e-87   6.9e-85  282.3   0.3    42   337   120   429    82   434 0.88 -
ctg000002_P:540084-541391   -            436 11586at4891          -            343   1.1e-83  278.3   0.1   1   1   1.6e-85   1.6e-83  277.8   0.1    57   337   140   425   115   431 0.92 -
ctg000001_P:65864-69994     -           1377 11586at4891          -            343   1.1e-54  183.0   0.0   1   2   7.8e-56     8e-54  180.1   0.0    96   319   409   640   395   660 0.89 -
ctg000001_P:65864-69994     -           1377 11586at4891          -            343   1.1e-54  183.0   0.0   2   2      0.75        77   -0.7   0.0   137   203   772   839   755   843 0.66 -
ctg000006_P:417572-418900   -            443 11586at4891          -            343   1.8e-54  182.3   0.4   1   1   2.4e-56   2.4e-54  181.8   0.4    97   327     1   238     1   255 0.91 -
ctg000010_P:386846-388405   -            520 11586at4891          -            343   1.8e-52  175.7   0.1   1   1   2.6e-54   2.7e-52  175.1   0.1    95   327    69   313    60   330 0.88 -
ctg000005_P:330051-332291   -            747 11586at4891          -            343   3.2e-50  168.3   0.1   1   1   4.9e-52     5e-50  167.6   0.1    93   326   274   508   265   518 0.92 -
ctg000001_P:562554-563639   -            362 11586at4891          -            343   4.4e-48  161.2   0.0   1   1   5.7e-50   5.9e-48  160.8   0.0    89   324    80   321    68   334 0.89 -
ctg000009_P:77886-80999     -           1038 11586at4891          -            343   6.1e-46  154.2   0.0   1   2    0.0041      0.42    6.8   0.0   134   277   449   604   416   663 0.61 -
ctg000009_P:77886-80999     -           1038 11586at4891          -            343   6.1e-46  154.2   0.0   2   2   3.5e-45   3.6e-43  145.1   0.0    93   282   685   871   676   920 0.87 -
ctg000005_P:60864-62174     -            437 11586at4891          -            343   2.4e-45  152.2   0.0   1   1   3.3e-47   3.4e-45  151.8   0.0    93   322   126   356   119   374 0.87 -
ctg000008_P:755130-757982   -            951 11586at4891          -            343   5.8e-45  151.0   0.0   1   2      0.17        18    1.4   0.0   193   283   462   552   391   573 0.76 -
ctg000008_P:755130-757982   -            951 11586at4891          -            343   5.8e-45  151.0   0.0   2   2   8.4e-46   8.6e-44  147.1   0.0    96   296   649   848   637   890 0.85 -
ctg000007_P:416868-419138   -            757 11586at4891          -            343   2.2e-39  132.7   0.9   1   2   1.1e-38   1.1e-36  123.8   0.6   101   319   240   476   228   495 0.82 -
ctg000007_P:416868-419138   -            757 11586at4891          -            343   2.2e-39  132.7   0.9   2   2    0.0043      0.45    6.7   0.0   136   166   559   591   527   642 0.69 -
ctg000005_P:524785-525759   -            325 11586at4891          -            343   9.7e-39  130.5   0.0   1   1   1.3e-40   1.3e-38  130.1   0.0    84   323    27   278    11   293 0.82 -
ctg000000_P:1205706-1207064 -            453 11586at4891          -            343   4.7e-16   55.9   0.0   1   1   9.2e-18   9.5e-16   54.9   0.0   120   290   250   412   234   451 0.79 -
ctg000007_P:217605-218147   -            181 11586at4891          -            343   4.7e-10   36.2   0.0   1   1   2.5e-10   2.5e-08   30.5   0.0   132   282     3   177     1   180 0.67 -
ctg000006_P:394352-396553   -            734 11586at4891          -            343   7.6e-05   19.1   0.0   1   1   1.4e-06   0.00015   18.1   0.0   132   318   166   362   160   373 0.71 -
ctg000002_P:340048-342630   -            861 11586at4891          -            343   0.00019   17.7   0.0   1   1   3.4e-06   0.00035   16.9   0.0   135   209   347   434   304   454 0.73 -
ctg000007_P:626361-629345   -            995 11586at4891          -            343     0.005   13.1   0.1   1   1   0.00011     0.011   12.0   0.1   133   207   486   568   465   582 0.72 -
ctg000010_P:519872-521287   -            472 11586at4891          -            343     0.014   11.6   0.0   1   1   0.00023     0.024   10.9   0.0   127   159    78   110    47   139 0.89 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /Users/dominiquefastus/DeNovoProj/BUSCO_ass/busco_downloads/lineages/saccharomycetes_odb10/hmms/11586at4891.hmm
# Target file:     /Users/dominiquefastus/DeNovoProj/BUSCO_ass/busco_out/run_saccharomycetes_odb10/metaeuk_output/initial_results/asm_ctgs_m.fa.modified.fas
# Option settings: hmmsearch --domtblout /Users/dominiquefastus/DeNovoProj/BUSCO_ass/busco_out/run_saccharomycetes_odb10/hmmer_output/initial_run_results/11586at4891.out --cpu 1 /Users/dominiquefastus/DeNovoProj/BUSCO_ass/busco_downloads/lineages/saccharomycetes_odb10/hmms/11586at4891.hmm /Users/dominiquefastus/DeNovoProj/BUSCO_ass/busco_out/run_saccharomycetes_odb10/metaeuk_output/initial_results/asm_ctgs_m.fa.modified.fas 
# Current dir:     /Users/dominiquefastus/DeNovoProj/BUSCO_ass
# Date:            Fri Feb 24 13:43:56 2023
# [ok]
