#                                                                                 --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name             accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#     ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
ctg000002_P:74418-76559   -            714 2754at4891           -            542  1.9e-197  654.4  12.7   1   2  2.6e-199  7.8e-197  652.4   6.4     1   526     8   671     8   685 0.83 -
ctg000002_P:74418-76559   -            714 2754at4891           -            542  1.9e-197  654.4  12.7   2   2     0.094        28    0.3   0.4   523   541   696   714   689   714 0.89 -
ctg000001_P:501596-503521 -            642 2754at4891           -            542   7.3e-15   51.8   0.0   1   1   1.1e-15   3.3e-13   46.3   0.0   139   480    39   442    26   454 0.66 -
ctg000012_P:112251-115004 -            918 2754at4891           -            542   1.9e-08   30.6   3.2   1   5    0.0015      0.46    6.2   0.0   361   399    77   115    53   167 0.78 -
ctg000012_P:112251-115004 -            918 2754at4891           -            542   1.9e-08   30.6   3.2   2   5     0.086        26    0.5   0.0   383   417   149   183   141   216 0.84 -
ctg000012_P:112251-115004 -            918 2754at4891           -            542   1.9e-08   30.6   3.2   3   5   1.7e-05     0.005   12.7   0.0   374   441   254   323   229   331 0.86 -
ctg000012_P:112251-115004 -            918 2754at4891           -            542   1.9e-08   30.6   3.2   4   5    0.0029      0.86    5.3   0.1   382   435   347   402   333   445 0.76 -
ctg000012_P:112251-115004 -            918 2754at4891           -            542   1.9e-08   30.6   3.2   5   5      0.12        36   -0.0   0.0   385   414   520   549   494   578 0.81 -
ctg000012_P:93603-94601   -            333 2754at4891           -            542   1.2e-07   28.0   0.6   1   3    0.0077       2.3    3.9   0.0   385   429     9    56     3    66 0.74 -
ctg000012_P:93603-94601   -            333 2754at4891           -            542   1.2e-07   28.0   0.6   2   3      0.66     2e+02   -2.5   0.0   136   158   101   123    69   150 0.57 -
ctg000012_P:93603-94601   -            333 2754at4891           -            542   1.2e-07   28.0   0.6   3   3   3.5e-08     1e-05   21.6   0.1   130   238   219   327   207   331 0.80 -
ctg000006_P:535604-536641 -            346 2754at4891           -            542   8.2e-05   18.6   0.2   1   3     0.053        16    1.2   0.0   135   203    14    90     8    93 0.75 -
ctg000006_P:535604-536641 -            346 2754at4891           -            542   8.2e-05   18.6   0.2   2   3    0.0044       1.3    4.7   0.0   126   165    90   127    81   144 0.76 -
ctg000006_P:535604-536641 -            346 2754at4891           -            542   8.2e-05   18.6   0.2   3   3   9.6e-05     0.029   10.2   0.1   381   439   154   215   127   228 0.70 -
ctg000003_P:904315-907116 -            934 2754at4891           -            542    0.0001   18.3   0.0   1   2      0.22        65   -0.9   0.0   383   421   246   285   233   289 0.78 -
ctg000003_P:904315-907116 -            934 2754at4891           -            542    0.0001   18.3   0.0   2   2   2.5e-06   0.00073   15.5   0.0   364   451   563   650   551   677 0.84 -
ctg000014_P:161740-163014 -            425 2754at4891           -            542   0.00025   17.0   0.0   1   3    0.0033      0.99    5.1   0.0   363   410     9    56     5    62 0.84 -
ctg000014_P:161740-163014 -            425 2754at4891           -            542   0.00025   17.0   0.0   2   3   0.00047      0.14    7.9   0.0   383   414    75   106    68   143 0.85 -
ctg000014_P:161740-163014 -            425 2754at4891           -            542   0.00025   17.0   0.0   3   3      0.44   1.3e+02   -1.9   0.0   394   442   183   236   176   253 0.57 -
ctg000008_P:735513-736862 -            450 2754at4891           -            542   0.00028   16.8   0.9   1   3   9.6e-05     0.029   10.2   0.0   380   410    78   108    62   132 0.75 -
ctg000008_P:735513-736862 -            450 2754at4891           -            542   0.00028   16.8   0.9   2   3     0.016       4.7    2.9   0.3   130   210   119   196   110   248 0.63 -
ctg000008_P:735513-736862 -            450 2754at4891           -            542   0.00028   16.8   0.9   3   3     0.083        25    0.5   0.0   377   407   332   362   307   367 0.83 -
ctg000007_P:594382-596901 -            840 2754at4891           -            542   0.00032   16.6   0.0   1   3     0.082        24    0.5   0.0   136   153    84   101    72   112 0.61 -
ctg000007_P:594382-596901 -            840 2754at4891           -            542   0.00032   16.6   0.0   2   3    0.0024      0.71    5.6   0.0   379   455   136   214   128   232 0.82 -
ctg000007_P:594382-596901 -            840 2754at4891           -            542   0.00032   16.6   0.0   3   3    0.0022      0.65    5.7   0.0   372   412   348   388   333   395 0.84 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /Users/dominiquefastus/DeNovoProj/BUSCO_ass/busco_downloads/lineages/saccharomycetes_odb10/hmms/2754at4891.hmm
# Target file:     /Users/dominiquefastus/DeNovoProj/BUSCO_ass/busco_out/run_saccharomycetes_odb10/metaeuk_output/initial_results/asm_ctgs_m.fa.modified.fas
# Option settings: hmmsearch --domtblout /Users/dominiquefastus/DeNovoProj/BUSCO_ass/busco_out/run_saccharomycetes_odb10/hmmer_output/initial_run_results/2754at4891.out --cpu 1 /Users/dominiquefastus/DeNovoProj/BUSCO_ass/busco_downloads/lineages/saccharomycetes_odb10/hmms/2754at4891.hmm /Users/dominiquefastus/DeNovoProj/BUSCO_ass/busco_out/run_saccharomycetes_odb10/metaeuk_output/initial_results/asm_ctgs_m.fa.modified.fas 
# Current dir:     /Users/dominiquefastus/DeNovoProj/BUSCO_ass
# Date:            Fri Feb 24 14:24:51 2023
# [ok]
