# BUSCO version is: 5.4.4 
# The lineage dataset is: saccharomycetes_odb10 (Creation date: 2020-08-05, number of genomes: 76, number of BUSCOs: 2137)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
0at4891	Complete	ctg000003_P	328843	343572	-	4422.4	3519	https://www.orthodb.org/v10?query=0at4891	Midasin
6at4891	Complete	ctg000011_P	249057	260291	-	4252.1	2957	https://www.orthodb.org/v10?query=6at4891	PIK-related kinase
23at4891	Complete	ctg000003_P	39852	49283	-	2474.5	2193	https://www.orthodb.org/v10?query=23at4891	Vacuolar protein sorting-associated protein
42at4891	Complete	ctg000022_P	177831	184469	-	3449.4	1774	https://www.orthodb.org/v10?query=42at4891	Carbamoyl-phosphate synthase small subunit, N-terminal domain
50at4891	Complete	ctg000003_P	286705	295566	-	1717.7	1698	https://www.orthodb.org/v10?query=50at4891	Protein CSF1
61at4891	Complete	ctg000000_P	1350139	1359942	+	2068.3	1936	https://www.orthodb.org/v10?query=61at4891	E3 ubiquitin ligase, domain of unknown function DUF908
85at4891	Complete	ctg000011_P	126102	133343	+	3299.1	1836	https://www.orthodb.org/v10?query=85at4891	Pre-mRNA-processing-splicing factor 8
86at4891	Complete	ctg000008_P	116213	122911	+	3355.2	1831	https://www.orthodb.org/v10?query=86at4891	Acetyl-CoA carboxylase
93at4891	Complete	ctg000001_P	966371	974386	-	2038.9	1599	https://www.orthodb.org/v10?query=93at4891	protein kinase regulator activity
95at4891	Complete	ctg000000_P	149663	156097	-	3250.4	1793	https://www.orthodb.org/v10?query=95at4891	Glutamate synthase
115at4891	Complete	ctg000107_P	333155	340018	+	1745.3	1463	https://www.orthodb.org/v10?query=115at4891	transcriptional activator leucine zipper
145at4891	Complete	ctg000007_P	306837	313940	-	1239.4	1233	https://www.orthodb.org/v10?query=145at4891	Phosphatidylinositol 3-/4-kinase, catalytic domain
154at4891	Complete	ctg000007_P	747838	756198	+	356.4	243	https://www.orthodb.org/v10?query=154at4891	Serine/threonine-protein kinase Tel1
170at4891	Complete	ctg000008_P	622666	629322	-	2382.8	1637	https://www.orthodb.org/v10?query=170at4891	DNA polymerase epsilon catalytic subunit
216at4891	Complete	ctg000003_P	708106	713805	-	1390.6	1038	https://www.orthodb.org/v10?query=216at4891	Phosphatidylinositol 3-/4-kinase, catalytic domain
227at4891	Complete	ctg000001_P	1004686	1009620	+	2559.9	1454	https://www.orthodb.org/v10?query=227at4891	Clathrin heavy chain
245at4891	Complete	ctg000002_P	125954	130942	-	2452.6	1386	https://www.orthodb.org/v10?query=245at4891	DNA-directed RNA polymerase subunit
274at4891	Complete	ctg000009_P	107845	113979	+	2846.2	1638	https://www.orthodb.org/v10?query=274at4891	Fatty acid synthase
300at4891	Complete	ctg000013_P	79301	85669	-	1278.7	899	https://www.orthodb.org/v10?query=300at4891	Phosphatidylinositol-4-phosphate 5-kinase, core
331at4891	Complete	ctg000022_P	218622	223928	-	1281.5	1386	https://www.orthodb.org/v10?query=331at4891	BP28, C-terminal domain
364at4891	Complete	ctg000000_P	684768	689531	+	1880.6	1240	https://www.orthodb.org/v10?query=364at4891	Pentafunctional AROM polypeptide
365at4891	Complete	ctg000000_P	205825	210999	-	2554.8	1450	https://www.orthodb.org/v10?query=365at4891	DNA-directed RNA polymerase subunit
369at4891	Complete	ctg000009_P	508494	513083	-	1371.1	923	https://www.orthodb.org/v10?query=369at4891	Phospholipase
394at4891	Complete	ctg000012_P	48282	54548	-	1255.7	1104	https://www.orthodb.org/v10?query=394at4891	CCR4-NOT transcription complex subunit 1, HEAT repeat 1
414at4891	Complete	ctg000002_P	542269	546648	+	2266.5	1199	https://www.orthodb.org/v10?query=414at4891	DNA-directed RNA polymerase subunit
419at4891	Complete	ctg000002_P	475278	478931	+	2194.3	1056	https://www.orthodb.org/v10?query=419at4891	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
425at4891	Complete	ctg000005_P	361577	365185	+	1903.7	992	https://www.orthodb.org/v10?query=425at4891	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
431at4891	Complete	ctg000007_P	345682	349857	+	1768.7	1066	https://www.orthodb.org/v10?query=431at4891	L-aminoadipate-semialdehyde dehydrogenase
443at4891	Complete	ctg000022_P	703103	707854	+	1109.3	841	https://www.orthodb.org/v10?query=443at4891	Vacuolar membrane-associated protein IML1
455at4891	Complete	ctg000001_P	375460	379809	-	1042.8	1058	https://www.orthodb.org/v10?query=455at4891	Transcription elongation factor Spt6
468at4891	Complete	ctg000006_P	557054	562021	-	1567.6	1022	https://www.orthodb.org/v10?query=468at4891	P-type ATPase
469at4891	Complete	ctg000005_P	847688	852166	+	640.0	908	https://www.orthodb.org/v10?query=469at4891	Rho GTPase activation protein
