#                                                                                 --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name             accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#     ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
ctg000005_P:190852-193512 -            887 1428854at2759        -            355  7.8e-114  375.9  10.1   1   4     0.073       2.4    2.6   0.0   311   344    44    77    41    87 0.86 -
ctg000005_P:190852-193512 -            887 1428854at2759        -            355  7.8e-114  375.9  10.1   2   4   3.7e-29   1.2e-27   92.4   0.1     6    95   334   425   330   429 0.91 -
ctg000005_P:190852-193512 -            887 1428854at2759        -            355  7.8e-114  375.9  10.1   3   4     1e-57   3.4e-56  186.3   0.6    91   352   453   737   449   740 0.80 -
ctg000005_P:190852-193512 -            887 1428854at2759        -            355  7.8e-114  375.9  10.1   4   4   1.1e-33   3.8e-32  107.2   4.9   232   355   663   834   657   834 0.75 -
ctg000010_P:72380-73960   -            527 1428854at2759        -            355   7.1e-40  132.6   0.0   1   4   1.2e-09   4.1e-08   28.2   0.0    15    92     2    81     1    85 0.92 -
ctg000010_P:72380-73960   -            527 1428854at2759        -            355   7.1e-40  132.6   0.0   2   4   1.5e-09     5e-08   27.9   0.0   280   352    85   160    80   163 0.85 -
ctg000010_P:72380-73960   -            527 1428854at2759        -            355   7.1e-40  132.6   0.0   3   4     4e-12   1.3e-10   36.3   0.0   287   354   185   255   171   257 0.90 -
ctg000010_P:72380-73960   -            527 1428854at2759        -            355   7.1e-40  132.6   0.0   4   4   1.2e-11   3.9e-10   34.8   0.0    17    94   288   366   271   376 0.90 -
ctg000005_P:471679-472779 -            367 1428854at2759        -            355   2.6e-28   94.6   0.3   1   3   9.4e-11   3.1e-09   31.8   0.0    21    94     1    75     1    84 0.89 -
ctg000005_P:471679-472779 -            367 1428854at2759        -            355   2.6e-28   94.6   0.3   2   3   6.9e-08   2.3e-06   22.4   0.0   276   353   107   188    99   190 0.82 -
ctg000005_P:471679-472779 -            367 1428854at2759        -            355   2.6e-28   94.6   0.3   3   3   2.7e-12     9e-11   36.9   0.1     3    68   247   313   245   325 0.88 -
ctg000013_P:69410-70723   -            438 1428854at2759        -            355     2e-20   68.6   6.7   1   4   1.1e-09   3.8e-08   28.3   0.0    18    93    69   146    58   163 0.88 -
ctg000013_P:69410-70723   -            438 1428854at2759        -            355     2e-20   68.6   6.7   2   4   0.00025    0.0084   10.7   0.1   300   354   172   224   153   225 0.81 -
ctg000013_P:69410-70723   -            438 1428854at2759        -            355     2e-20   68.6   6.7   3   4   3.1e-10     1e-08   30.1   0.5    14   108   277   371   262   385 0.84 -
ctg000013_P:69410-70723   -            438 1428854at2759        -            355     2e-20   68.6   6.7   4   4     0.027       0.9    4.0   0.1     4    73   357   428   354   438 0.72 -
ctg000001_P:293063-293590 -            176 1428854at2759        -            355   9.1e-19   63.2   0.0   1   2   1.8e-07     6e-06   21.0   0.0    18    87     2    73     1    85 0.87 -
ctg000001_P:293063-293590 -            176 1428854at2759        -            355   9.1e-19   63.2   0.0   2   2   2.1e-13   6.9e-12   40.6   0.0    15    84    98   169    83   173 0.73 -
ctg000002_P:997662-998162 -            167 1428854at2759        -            355     1e-18   63.0   0.0   1   2   5.2e-10   1.7e-08   29.4   0.0    15    83     1    69     1    78 0.85 -
ctg000002_P:997662-998162 -            167 1428854at2759        -            355     1e-18   63.0   0.0   2   2   7.9e-11   2.6e-09   32.1   0.0    12    92    82   163    73   166 0.93 -
ctg000012_P:240503-240991 -            163 1428854at2759        -            355   3.1e-17   58.1   0.0   1   2   6.3e-14   2.1e-12   42.3   0.0    17    89     5    77     2    83 0.88 -
ctg000012_P:240503-240991 -            163 1428854at2759        -            355   3.1e-17   58.1   0.0   2   2   2.2e-05   0.00072   14.2   0.0    11    68    96   153    83   163 0.68 -
