#                                                                                 --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name             accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#     ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
ctg000005_P:730025-730648 -            208 1421503at2759        -            114   1.1e-50  166.2   0.1   1   1   3.2e-52   1.7e-50  165.6   0.1     5   113    44   156    41   157 0.94 -
ctg000010_P:72380-73960   -            527 1421503at2759        -            114   1.2e-15   53.3   0.0   1   4   6.1e-07   3.3e-05   19.7   0.0     6    78     3    79     1    94 0.85 -
ctg000010_P:72380-73960   -            527 1421503at2759        -            114   1.2e-15   53.3   0.0   2   4     0.045       2.4    4.0   0.0     8    72    93   160    87   166 0.74 -
ctg000010_P:72380-73960   -            527 1421503at2759        -            114   1.2e-15   53.3   0.0   3   4     1e-06   5.5e-05   19.0   0.0     7    66   185   244   180   255 0.80 -
ctg000010_P:72380-73960   -            527 1421503at2759        -            114   1.2e-15   53.3   0.0   4   4     0.022       1.2    5.0   0.0     8    67   289   348   283   355 0.70 -
ctg000005_P:190852-193512 -            887 1421503at2759        -            114   1.2e-13   46.8   0.7   1   5      0.51        27    0.6   0.0    48    85    58    98    44   100 0.79 -
ctg000005_P:190852-193512 -            887 1421503at2759        -            114   1.2e-13   46.8   0.7   2   5   9.4e-05     0.005   12.7   0.0     7    63   345   402   340   415 0.85 -
ctg000005_P:190852-193512 -            887 1421503at2759        -            114   1.2e-13   46.8   0.7   3   5       2.2   1.2e+02   -1.4   0.0     4    37   529   563   526   596 0.86 -
ctg000005_P:190852-193512 -            887 1421503at2759        -            114   1.2e-13   46.8   0.7   4   5   0.00051     0.027   10.3   0.0     8    76   664   741   660   756 0.69 -
ctg000005_P:190852-193512 -            887 1421503at2759        -            114   1.2e-13   46.8   0.7   5   5   6.4e-06   0.00034   16.4   0.0     5    64   761   820   757   838 0.77 -
ctg000001_P:293063-293590 -            176 1421503at2759        -            114   9.5e-12   40.8   0.0   1   2    0.0018     0.094    8.6   0.0     8    79     2    77     1    92 0.73 -
ctg000001_P:293063-293590 -            176 1421503at2759        -            114   9.5e-12   40.8   0.0   2   2   2.7e-10   1.4e-08   30.6   0.0     6    78    99   175    94   176 0.88 -
ctg000008_P:173955-174461 -            169 1421503at2759        -            114   1.8e-10   36.7   0.1   1   2   1.5e-08   8.2e-07   24.9   0.1     8    79     3    77     1    85 0.87 -
ctg000008_P:173955-174461 -            169 1421503at2759        -            114   1.8e-10   36.7   0.1   2   2   0.00061     0.033   10.1   0.0     6    79    88   165    83   167 0.66 -
ctg000002_P:178469-179107 -            213 1421503at2759        -            114   2.8e-09   32.8   0.6   1   2   2.3e-09   1.2e-07   27.6   0.1     7    76     9    83     3    87 0.85 -
ctg000002_P:178469-179107 -            213 1421503at2759        -            114   2.8e-09   32.8   0.6   2   2     0.059       3.1    3.7   0.0    44    83   147   185   107   201 0.69 -
ctg000005_P:471679-472779 -            367 1421503at2759        -            114   1.4e-08   30.5   0.3   1   3   0.00018    0.0094   11.8   0.0    19    78     9    71     3    76 0.76 -
ctg000005_P:471679-472779 -            367 1421503at2759        -            114   1.4e-08   30.5   0.3   2   3     0.012      0.66    5.9   0.0    45    79   157   194   135   214 0.80 -
ctg000005_P:471679-472779 -            367 1421503at2759        -            114   1.4e-08   30.5   0.3   3   3    0.0011     0.057    9.3   0.0     4    64   258   319   255   325 0.87 -
ctg000107_P:89442-89720   -             93 1421503at2759        -            114   6.5e-06   22.0   0.0   1   1   1.6e-07   8.4e-06   21.6   0.0     5    57    26    79    23    92 0.86 -
ctg000001_P:688931-689176 -             82 1421503at2759        -            114   5.8e-05   18.9   0.0   1   1   1.2e-06   6.6e-05   18.7   0.0     9    78     1    74     1    78 0.88 -
ctg000002_P:997662-998162 -            167 1421503at2759        -            114   5.9e-05   18.9   0.1   1   2   0.00066     0.035    9.9   0.0     6    74     2    72     1    99 0.87 -
ctg000002_P:997662-998162 -            167 1421503at2759        -            114   5.9e-05   18.9   0.1   2   2     0.004      0.21    7.4   0.0    25    70   105   151    84   161 0.74 -
ctg000011_P:283737-284399 -            221 1421503at2759        -            114   0.00014   17.7   0.1   1   2   7.5e-05     0.004   13.0   0.0     7    80     2    80     1    97 0.79 -
ctg000011_P:283737-284399 -            221 1421503at2759        -            114   0.00014   17.7   0.1   2   2      0.17         9    2.2   0.0     6    64   151   204   147   219 0.62 -
ctg000008_P:469652-469897 -             82 1421503at2759        -            114   0.00089   15.1   0.0   1   1   1.8e-05   0.00097   15.0   0.0     9    66     1    59     1    79 0.83 -
ctg000107_P:206580-206969 -            130 1421503at2759        -            114    0.0016   14.3   0.1   1   1   3.6e-05    0.0019   14.0   0.1     8    81     2    82     1   108 0.77 -
ctg000007_P:165049-165489 -            147 1421503at2759        -            114    0.0017   14.2   0.0   1   2     0.015      0.82    5.5   0.0    47    61     2    16     1    26 0.84 -
ctg000007_P:165049-165489 -            147 1421503at2759        -            114    0.0017   14.2   0.0   2   2    0.0061      0.33    6.8   0.0     8    63    67   124    62   144 0.76 -
ctg000002_P:840510-840737 -             76 1421503at2759        -            114    0.0027   13.5   0.0   1   1   6.5e-05    0.0035   13.2   0.0     5    54    26    76    22    76 0.88 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /Users/dominiquefastus/DeNovoProj/BUSCO_ass/busco_downloads/lineages/eukaryota_odb10/hmms/1421503at2759.hmm
# Target file:     /Users/dominiquefastus/DeNovoProj/BUSCO_ass/busco_out/auto_lineage/run_eukaryota_odb10/metaeuk_output/initial_results/asm_ctgs_m.fa.modified.fas
# Option settings: hmmsearch --domtblout /Users/dominiquefastus/DeNovoProj/BUSCO_ass/busco_out/auto_lineage/run_eukaryota_odb10/hmmer_output/initial_run_results/1421503at2759.out --cpu 1 /Users/dominiquefastus/DeNovoProj/BUSCO_ass/busco_downloads/lineages/eukaryota_odb10/hmms/1421503at2759.hmm /Users/dominiquefastus/DeNovoProj/BUSCO_ass/busco_out/auto_lineage/run_eukaryota_odb10/metaeuk_output/initial_results/asm_ctgs_m.fa.modified.fas 
# Current dir:     /Users/dominiquefastus/DeNovoProj/BUSCO_ass
# Date:            Fri Feb 24 11:50:33 2023
# [ok]
