#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
ctg000006_P_278      -            225 78046at2157          -            167   3.9e-40  136.1   0.0   1   1   1.6e-41   2.3e-38  130.3   0.0     3   167    15   218    13   218 0.77 # 429137 # 429811 # -1 # ID=7_278;partial=00;start_type=ATG;rbs_motif=AAAAA;rbs_spacer=14bp;gc_cont=0.403
ctg000008_P_518      -            223 78046at2157          -            167   4.4e-39  132.6   0.1   1   2   2.1e-05     0.028   12.9   0.1     2    32     3    33     2    40 0.84 # 764654 # 765322 # 1 # ID=9_518;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.396
ctg000008_P_518      -            223 78046at2157          -            167   4.4e-39  132.6   0.1   2   2   9.2e-38   1.3e-34  118.1   0.0    22   167    39   212    28   212 0.83 # 764654 # 765322 # 1 # ID=9_518;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.396
ctg000013_P_166      -            223 78046at2157          -            167   7.8e-39  131.8   0.1   1   2   2.1e-05     0.028   12.9   0.1     2    32     3    33     2    40 0.84 # 261159 # 261827 # 1 # ID=14_166;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.398
ctg000013_P_166      -            223 78046at2157          -            167   7.8e-39  131.8   0.1   2   2   1.7e-37   2.3e-34  117.3   0.0    22   167    39   212    28   212 0.83 # 261159 # 261827 # 1 # ID=14_166;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.398
ctg000007_P_72       -            553 78046at2157          -            167     8e-05   21.2   0.0   1   2   0.00036       0.5    8.8   0.0    15    76    22    89     9   112 0.70 # 97289 # 98947 # 1 # ID=8_72;partial=00;start_type=ATG;rbs_motif=AAAAA;rbs_spacer=4bp;gc_cont=0.414
ctg000007_P_72       -            553 78046at2157          -            167     8e-05   21.2   0.0   2   2   0.00016      0.22   10.0   0.0   135   158   175   198   166   205 0.79 # 97289 # 98947 # 1 # ID=8_72;partial=00;start_type=ATG;rbs_motif=AAAAA;rbs_spacer=4bp;gc_cont=0.414
ctg000012_P_134      -            417 78046at2157          -            167    0.0065   15.0   0.6   1   3    0.0017       2.3    6.7   0.0   101   154     2    55     1    58 0.92 # 204514 # 205764 # -1 # ID=13_134;partial=00;start_type=ATG;rbs_motif=AACAA;rbs_spacer=10bp;gc_cont=0.461
ctg000012_P_134      -            417 78046at2157          -            167    0.0065   15.0   0.6   2   3    0.0044       6.2    5.3   0.0    28    62   224   258   213   264 0.85 # 204514 # 205764 # -1 # ID=13_134;partial=00;start_type=ATG;rbs_motif=AACAA;rbs_spacer=10bp;gc_cont=0.461
ctg000012_P_134      -            417 78046at2157          -            167    0.0065   15.0   0.6   3   3      0.44   6.1e+02   -1.2   0.1    34    49   365   380   349   395 0.73 # 204514 # 205764 # -1 # ID=13_134;partial=00;start_type=ATG;rbs_motif=AACAA;rbs_spacer=10bp;gc_cont=0.461
ctg000006_P_448      -            526 78046at2157          -            167     0.072   11.6   0.1   1   3      0.07        98    1.4   0.0    53    74    72    93    43   102 0.77 # 679863 # 681440 # 1 # ID=7_448;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.413
ctg000006_P_448      -            526 78046at2157          -            167     0.072   11.6   0.1   2   3    0.0013       1.8    7.0   0.0   141   161   164   184   152   189 0.85 # 679863 # 681440 # 1 # ID=7_448;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.413
ctg000006_P_448      -            526 78046at2157          -            167     0.072   11.6   0.1   3   3       1.7   2.4e+03   -3.2   0.0    36    52   229   245   212   250 0.71 # 679863 # 681440 # 1 # ID=7_448;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.413
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /Users/dominiquefastus/DeNovoProj/BUSCO_ass/busco_downloads/lineages/archaea_odb10/hmms/78046at2157.hmm
# Target file:     /Users/dominiquefastus/DeNovoProj/BUSCO_ass/busco_out/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /Users/dominiquefastus/DeNovoProj/BUSCO_ass/busco_out/auto_lineage/run_archaea_odb10/hmmer_output/78046at2157.out --cpu 1 /Users/dominiquefastus/DeNovoProj/BUSCO_ass/busco_downloads/lineages/archaea_odb10/hmms/78046at2157.hmm /Users/dominiquefastus/DeNovoProj/BUSCO_ass/busco_out/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /Users/dominiquefastus/DeNovoProj/BUSCO_ass
# Date:            Fri Feb 24 11:39:20 2023
# [ok]
