#                                                                                 --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name             accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#     ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
ctg000001_P:853361-855415 -            685 1653at4891           -            641  5.1e-208  683.4   5.6   1   1  1.3e-207  2.5e-207  681.2   5.6   141   633     1   634     1   643 0.84 -
ctg000000_P:196446-198620 -            725 1653at4891           -            641   4.5e-73  237.6   5.6   1   3   3.6e-52   6.8e-52  167.6   0.8     2   254     2   243     1   248 0.92 -
ctg000000_P:196446-198620 -            725 1653at4891           -            641   4.5e-73  237.6   5.6   2   3   4.5e-14   8.4e-14   41.8   0.0   214   301   247   339   241   351 0.90 -
ctg000000_P:196446-198620 -            725 1653at4891           -            641   4.5e-73  237.6   5.6   3   3   1.3e-09   2.3e-09   27.1   0.5   324   524   405   598   385   677 0.78 -
ctg000012_P:93540-94559   -            340 1653at4891           -            641   1.6e-33  106.9   6.7   1   2   2.5e-18   4.6e-18   55.9   0.8   115   253     4   147     2   165 0.82 -
ctg000012_P:93540-94559   -            340 1653at4891           -            641   1.6e-33  106.9   6.7   2   2   1.1e-15   2.1e-15   47.1   0.5   105   225   209   328   168   329 0.75 -
ctg000007_P:202550-203290 -            247 1653at4891           -            641   2.2e-31   99.9   0.6   1   2   2.9e-25   5.3e-25   78.8   0.4    90   256    32   196     4   200 0.88 -
ctg000007_P:202550-203290 -            247 1653at4891           -            641   2.2e-31   99.9   0.6   2   2   2.1e-09   3.9e-09   26.4   0.0   191   252   173   235   166   244 0.86 -
ctg000012_P:74303-75097   -            265 1653at4891           -            641   5.7e-28   88.6   0.0   1   2   4.9e-21   9.1e-21   64.8   0.0    96   252     3   164     1   178 0.89 -
ctg000012_P:74303-75097   -            265 1653at4891           -            641   5.7e-28   88.6   0.0   2   2   3.8e-08   7.1e-08   22.2   0.0    87   166   181   264   173   265 0.82 -
ctg000012_P:112926-113909 -            328 1653at4891           -            641   8.3e-28   88.0   0.0   1   1     6e-28   1.1e-27   87.6   0.0     6   250    28   276    23   288 0.88 -
ctg000008_P:156615-157406 -            264 1653at4891           -            641   1.3e-25   80.8   3.7   1   4   3.5e-09   6.5e-09   25.6   0.0   191   252     5    67     2    82 0.84 -
ctg000008_P:156615-157406 -            264 1653at4891           -            641   1.3e-25   80.8   3.7   2   4   0.00014   0.00027   10.4   0.0    93   172    77   154    72   161 0.85 -
ctg000008_P:156615-157406 -            264 1653at4891           -            641   1.3e-25   80.8   3.7   3   4   6.5e-14   1.2e-13   41.3   1.6    87   169   162   243   155   246 0.95 -
ctg000008_P:156615-157406 -            264 1653at4891           -            641   1.3e-25   80.8   3.7   4   4   8.9e-06   1.7e-05   14.4   0.0   190   223   222   255   217   263 0.86 -
ctg000003_P:550125-550901 -            259 1653at4891           -            641   3.5e-24   76.1   4.7   1   2   0.00069    0.0013    8.1   0.1   190   239    50    99    44   104 0.89 -
ctg000003_P:550125-550901 -            259 1653at4891           -            641   3.5e-24   76.1   4.7   2   2   3.1e-22   5.7e-22   68.8   1.7   107   252   104   257    96   258 0.80 -
ctg000013_P:153761-154540 -            260 1653at4891           -            641   8.6e-16   48.4   7.0   1   3   6.4e-08   1.2e-07   21.5   0.1   199   250     1    54     1    59 0.90 -
ctg000013_P:153761-154540 -            260 1653at4891           -            641   8.6e-16   48.4   7.0   2   3   2.8e-08   5.2e-08   22.7   0.5   195   252   104   161    98   191 0.86 -
ctg000013_P:153761-154540 -            260 1653at4891           -            641   8.6e-16   48.4   7.0   3   3    0.0012    0.0022    7.4   0.1   170   243   186   253   165   260 0.59 -
ctg000009_P:516092-516817 -            242 1653at4891           -            641   1.3e-14   44.4   0.0   1   3   2.2e-08   4.1e-08   23.0   0.0   198   252    17    72     6    81 0.86 -
ctg000009_P:516092-516817 -            242 1653at4891           -            641   1.3e-14   44.4   0.0   2   3     0.035     0.065    2.5   0.0   214   264    95   143    89   171 0.62 -
ctg000009_P:516092-516817 -            242 1653at4891           -            641   1.3e-14   44.4   0.0   3   3   4.1e-06   7.6e-06   15.5   0.0   195   253   181   237   173   241 0.86 -
ctg000001_P:612557-613384 -            276 1653at4891           -            641   1.1e-12   38.1   0.8   1   2    0.0029    0.0054    6.1   0.0   203   246    57    98    47   105 0.83 -
ctg000001_P:612557-613384 -            276 1653at4891           -            641   1.1e-12   38.1   0.8   2   2   1.4e-10   2.6e-10   30.3   0.4    91   250   114   275   109   276 0.83 -
ctg000005_P:858601-860166 -            521 1653at4891           -            641   3.6e-09   26.5   0.1   1   2   2.7e-06   4.9e-06   16.1   0.1   107   168   256   317   251   325 0.93 -
ctg000005_P:858601-860166 -            521 1653at4891           -            641   3.6e-09   26.5   0.1   2   2   0.00066    0.0012    8.2   0.0    71   127   369   427   360   440 0.76 -
ctg000006_P:423623-425071 -            483 1653at4891           -            641   9.7e-09   25.1   0.8   1   3   0.00059    0.0011    8.4   0.0    67   215    46   201    22   202 0.73 -
ctg000006_P:423623-425071 -            483 1653at4891           -            641   9.7e-09   25.1   0.8   2   3   1.5e-07   2.8e-07   20.2   1.0   143   322   171   347   121   375 0.73 -
ctg000006_P:423623-425071 -            483 1653at4891           -            641   9.7e-09   25.1   0.8   3   3      0.23      0.42   -0.2   0.0    64   149   370   457   353   483 0.64 -
ctg000008_P:208016-208924 -            303 1653at4891           -            641   8.4e-06   15.4   0.3   1   2   5.2e-05   9.7e-05   11.8   0.2    44   170     8   141     3   185 0.69 -
ctg000008_P:208016-208924 -            303 1653at4891           -            641   8.4e-06   15.4   0.3   2   2     0.078      0.14    1.4   0.0   221   251   250   282   237   289 0.59 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /Users/dominiquefastus/DeNovoProj/BUSCO_ass/busco_downloads/lineages/saccharomycetes_odb10/hmms/1653at4891.hmm
# Target file:     /Users/dominiquefastus/DeNovoProj/BUSCO_ass/busco_out/run_saccharomycetes_odb10/metaeuk_output/rerun_results/asm_ctgs_m.fa.modified.fas
# Option settings: hmmsearch --domtblout /Users/dominiquefastus/DeNovoProj/BUSCO_ass/busco_out/run_saccharomycetes_odb10/hmmer_output/rerun_results/1653at4891.out --cpu 1 /Users/dominiquefastus/DeNovoProj/BUSCO_ass/busco_downloads/lineages/saccharomycetes_odb10/hmms/1653at4891.hmm /Users/dominiquefastus/DeNovoProj/BUSCO_ass/busco_out/run_saccharomycetes_odb10/metaeuk_output/rerun_results/asm_ctgs_m.fa.modified.fas 
# Current dir:     /Users/dominiquefastus/DeNovoProj/BUSCO_ass
# Date:            Fri Feb 24 14:33:48 2023
# [ok]
